BsM_lakeName,latBsM,longBsM,bsmWaterbodyID,ARU_lakeName,latARU_conv,longARU_conv,ARU_LID,Notes,elevation
Cassels,47.06939,-79.71594,17-5970-52137,Cassels,47.07166667,-79.7225,17-5970-52137,,295.9387817
Kittson,47.33973,-79.95931,17-5787-52433,Kittson,47.34055556,-79.95805556,17-5787-52433,,296.4420166
Snare,49.40549,-80.10818,17-5646-54725,Snare,49.40361111,-80.10916667,17-5646-54725,,296.4550171
Nagagami,49.42202,-85.0419,16-6420-54760,Nagagami,49.42194444,-85.04194444,16-6420-54760,,297.8695374
Spring,45.81025,-79.68167,17-6023-50734,Spring,45.80861111,-79.68277778,17-6024-50734,,298.2850037
Aileen,46.87867,-80.01783,17-5748-51919,Aileen,46.87861111,-80.01805556,17-5748-51919,,298.5341187
Buck,45.42025,-79.39479,17-6254-50307,Buck,45.42027778,-79.39666667,17-6254-50307,,299.7860107
Rawson,46.92006,-80.56675,17-5330-51961,Rawson,46.92,-80.56694444,17-5330-51961,,300.6452026
Thieving Bear,47.17876,-79.82724,17-5889-52256,Thieving Bear,47.17944444,-79.82611111,17-5890-52256,,301.1653442
Wasicho,49.43254,-80.1837,17-5590-54756,Wasicho,49.43222222,-80.18694444,17-5590-54756,,301.8648682
Sisseney,47.86371,-80.66658,17-5247-53013,Sisseney,47.86638889,-80.67,17-5247-53013,,303.6798706
Hiawatha,49.51536,-85.0119,16-6439-54864,Hiawatha,49.51527778,-85.01194444,16-6439-54864,,303.9602356
Buckshot,47.55979,-84.91051,16-6572-52693,Buckshot,47.55972222,-84.91055556,16-6572-52693,,305.1329956
Round,45.46467,-79.40602,17-6247-50356,Round,45.46472222,-79.40527778,17-6247-50356,,305.7960205
Manitowik,48.16368,-84.37354,16-6953-53376,Manitowik,48.16361111,-84.37361111,16-6953-53376,,306.0194092
Anvil,47.42262,-80.26691,17-5552-52523,Anvil,47.42416667,-80.26833333,17-5552-52523,,306.6886597
Devils,46.77811,-83.94464,17-2752-51845,Devils,46.77805556,-83.94472222,17-2752-51845,,306.7756958
White Otter,49.4723,-85.54923,16-6053-54810,White Otter,49.47472222,-85.54694444,16-6053-54810,,306.8752441
Wasaksina,46.935,-79.89212,17-5842-51980,Wasaksina,46.93194444,-79.89444444,17-5842-51980,,307.1981506
Twelve Mile,45.02509,-78.7047,17-6807-49881,Twelve Mile,45.02527778,-78.70611111,17-6807-49881,,307.7398987
Kokoko,47.08895,-80.03639,17-5733-52151,Kokoko,47.08694444,-80.03444444,17-5733-52151,,307.8667603
Whitefish,48.00938,-84.47039,16-6898-53236,Whitefish,48.03972222,-84.45305556,16-6898-53236,,308.2987671
Cavern,48.8321,-88.66491,16-3778-54100,Cavern,48.8325,-88.66444444,16-3779-54099,,308.6522217
Net,47.11604,-79.78758,17-5909-52183,Net,47.11388889,-79.80138889,17-5909-52183,,309.0744629
Driftwood,46.98242,-79.87887,17-5852-52035,Driftwood,46.98194444,-79.88,17-5852-52035,,309.2311707
Rib,47.21484,-79.71615,17-5972-52300,Rib,47.21805556,-79.71694444,17-5971-52300,,309.296875
Whiskey,46.43411,-82.34418,17-3974-51436,Whiskey,46.43972222,-82.33555556,17-3974-51435,,310.7762756
Red Squirrel,47.16035,-80.02394,17-5740-52232,Red Squirrel,47.16027778,-80.02416667,17-5740-52232,,310.8970337
Victoria,48.18883,-79.88236,17-5829-53372,Victoria,48.18444444,-79.88444444,17-5829-53372,,311.0197754
Wakomata,46.57189,-83.36057,17-3191-51595,Wakomata,46.56694444,-83.36083333,17-3191-51595,,311.2573853
Bark,45.4552,-77.84943,18-2782-50364,Bark,45.44777778,-77.83611111,18-2782-50364,,312.2459717
Kapuskasing,48.4837,-82.94457,17-3563-53717,Kapuskasing,48.48361111,-82.94472222,17-3563-53716,,312.2970276
Herridge,46.98257,-79.82505,17-5893-52037,Herridge,46.9825,-79.82527778,17-5893-52037,,312.6005859
Shillington,47.76767,-80.64678,17-5265-52901,Shillington,47.76555556,-80.64583333,17-5265-52901,,313.7636719
Long,49.47507,-86.89059,16-5079-54800,Long,49.475,-86.89055556,16-5079-54801,,313.9998779
Ingall,46.91053,-79.77762,17-5932-51960,Ingall,46.91277778,-79.77555556,17-5932-51960,,314.0372925
Emerald,46.9159,-80.32312,17-5515-51958,Emerald,46.91583333,-80.32333333,17-5515-51958,,314.5511475
Deception,48.62456,-88.74729,16-3712-53869,Deception,48.62416667,-88.74777778,16-3712-53869,,314.833374
Fortune,48.6048,-81.89708,17-4339-53837,Fortune,48.60472222,-81.89722222,17-4339-53837,,315.0222778
Kabinakagamisis,49.02999,-84.45079,16-6863-54334,Kabinakagamisis,49.0275,-84.45111111,16-6863-54334,,315.2603455
Weslemkoon,45.02704,-77.4237,18-3085-49890,Weslemkoon,45.03055556,-77.43111111,18-3085-49890,,316.3666382
Kabinakagami,48.90799,-84.40651,16-6893-54197,Kabinakagami,48.90305556,-84.41694444,16-6893-54197,,317.2666626
Watabeag,48.24705,-80.55577,17-5314-53425,Watabeag,48.23694444,-80.57694444,17-5314-53425,,317.4060974
Temagami,46.98896,-80.07046,17-5700-52061,Temagami,47.00638889,-80.07944444,17-5700-52061,,317.8148193
Haken,49.10397,-84.69439,16-6683-54413,Haken,49.10388889,-84.69444444,16-6683-54413,,318.1311646
Bigwind,45.05711,-79.05464,17-6532-49909,Bigwind,45.05694444,-79.05416667,17-6532-49909,,318.4069824
Pickerel,45.68198,-79.3074,17-6320-50600,Pickerel,45.68305556,-79.305,17-6320-50600,,319.026001
Cameron,49.0175,-84.27477,16-6991-54320,Cameron,49.01083333,-84.27722222,16-6991-54320,,319.170105
Jumping Cariboo,46.88285,-79.78186,17-5933-51926,Jumping Cariboo,46.8825,-79.77583333,17-5933-51926,,320.3936157
Queminico,47.16395,-84.61718,16-6806-52259,Queminico,47.16388889,-84.61722222,16-6806-52259,,320.6630249
McConnell,46.73979,-79.33974,17-6268-51774,McConnell,46.73972222,-79.34,17-6268-51774,,320.7678223
Radisson,48.21258,-80.75526,17-5180-53389,Radisson,48.20527778,-80.75777778,17-5180-53389,,320.96698
Mistinikon,47.96607,-80.73921,17-5196-53085,Mistinikon,47.93138889,-80.73694444,17-5197-53085,,321.614563
Tallan,44.84589,-78.0525,17-7329-49698,Tallan,44.84583333,-78.05277778,17-7329-49698,,322.0490112
Mountain,47.23078,-79.83215,17-5885-52314,Mountain,47.2325,-79.83083333,17-5885-52315,,322.1378174
Missinaibi,48.35674,-83.69128,17-3006-53592,Missinaibi,48.35666667,-83.69138889,17-3006-53592,,322.2720337
Holmes,48.01432,-80.50166,17-5372-53175,Holmes,48.01194444,-80.50055556,17-5373-53175,,323.1372681
Musselman,44.0309,-79.2731,17-6384-48765,Musselman,44.03083333,-79.27333333,17-6384-48765,,324.3899841
McKay,49.6134,-86.43808,16-5406-54956,McKay,49.61333333,-86.43805556,16-5406-54956,,324.7835693
Buck,45.29311,-77.74,18-2851-50189,Buck,45.29305556,-77.74027778,18-2851-50189,,325.1209106
Beatty,49.71792,-87.60467,16-4566-55070,Beatty,49.71583333,-87.60194444,16-4566-55070,,325.1517944
Leatherroot,45.17317,-77.20911,18-3264-50044,Leatherroot,45.17361111,-77.20972222,18-3264-50044,,326.9550171
Caviar,49.37469,-93.77506,15-4431-54685,Caviar,49.36833333,-93.78361111,15-4431-54685,,327.5218201
Dogpaw,49.36962,-93.90523,15-4342-54693,Dogpaw,49.37472222,-93.90583333,15-4342-54693,,327.623291
Bernard,45.73885,-79.38526,17-6257-50660,Bernard,45.73805556,-79.38416667,17-6257-50660,,328.1919861
White,48.78835,-85.61725,16-6003-54025,White,48.76944444,-85.63555556,16-6003-54025,,328.3603821
Mattagami,47.82548,-81.54069,17-4580-52980,Mattagami,47.83583333,-81.56111111,17-4580-52980,,328.637207
Shikwamkwa,48.09424,-84.14241,16-7128-53305,Shikwamkwa,48.09416667,-84.1425,16-7128-53305,,330.453186
Kenogamisis,49.70602,-86.85844,16-5087-55041,Kenogamisis,49.69111111,-86.87916667,16-5087-55041,,331.0493774
Jowsey,48.3748,-81.72373,17-4464-53580,Jowsey,48.37472222,-81.72388889,17-4464-53580,,331.0612183
Cedartree,49.30386,-93.86676,15-4375-54620,Cedartree,49.30944444,-93.85944444,15-4375-54620,,331.5715942
Silver,48.63108,-88.71542,16-3737-53877,Silver,48.63138889,-88.71444444,16-3737-53877,,332.3199463
Echo,45.17698,-79.06794,17-6520-50042,Echo,45.17722222,-79.06555556,17-6520-50042,,332.6749878
Lower Minnipuka,48.8965,-83.79523,17-2953-54198,Lower Minnipuka,48.89888889,-83.79277778,17-2953-54198,,332.7781982
Nemegosenda,48.0062,-83.11013,17-3426-53189,Nemegosenda,48.00611111,-83.11027778,17-3426-53189,,332.999939
Achigan,46.91679,-84.19601,16-7134-51997,Achigan,46.91861111,-84.19666667,16-7135-51997,,334.6062012
Kakagi,49.24073,-93.83253,15-4390-54514,Kakagi,49.21472222,-93.83722222,15-4390-54514,,334.8701782
Anima Nipissing,47.25951,-79.90616,17-5827-52344,Anima Nipissing,47.25944444,-79.90638889,17-5827-52344,,335.0831909
Teasdale,46.4795,-82.49876,17-3849-51482,Teasdale,46.47944444,-82.49888889,17-3849-51482,,336.2327271
Horwood,47.96766,-82.32184,17-4010-53144,Horwood,47.97694444,-82.32638889,17-4010-53144,,336.3930054
Placid,49.02703,-84.83384,16-6583-54325,Placid,49.02694444,-84.83388889,16-6584-54325,,336.6428223
Bittern,48.45849,-83.25316,17-3334-53694,Bittern,48.45805556,-83.25333333,17-3334-53695,,336.9796753
Gull,46.92203,-80.18504,17-5618-51964,Gull,46.92055556,-80.18888889,17-5618-51964,,337.1812744
Moose,45.14983,-78.46416,17-6995-50027,Moose,45.15138889,-78.4625,17-6995-50027,,338.0353088
Rowan,49.31937,-93.55764,15-4593-54629,Rowan,49.31972222,-93.56,15-4593-54629,,338.8699951
Michie,48.24121,-80.68504,17-5234-53429,Michie,48.24055556,-80.68472222,17-5234-53429,,338.9756775
McLean,47.19445,-79.97194,17-5778-52271,McLean,47.19472222,-79.97305556,17-5778-52271,,339.5621033
Little Moraine,49.01989,-88.83585,16-3657-54310,Little Moraine,49.01944444,-88.83722222,16-3657-54310,,340.0755615
Eagle,45.13784,-78.49157,17-6973-50011,Eagle,45.13777778,-78.49027778,17-6973-50011,,340.8305664
Moraine,48.98836,-88.85198,16-3644-54282,Moraine,48.99388889,-88.85305556,16-3644-54282,,341.4285278
Ivanhoe,48.08286,-82.62678,17-3788-53266,Ivanhoe,48.08277778,-82.62694444,17-3788-53266,,341.9960632
Langford,45.454,-79.28835,17-6339-50346,Langford,45.45388889,-79.28805556,17-6339-50346,,342.0314636
Paudash,44.96256,-78.04905,17-7323-49829,Paudash,44.96361111,-78.055,17-7323-49829,,342.1752625
Lady Evelyn,47.35053,-80.14644,17-5608-52396,Lady Evelyn,47.30944444,-80.19611111,17-5608-52397,,342.3413696
Popeye,46.44422,-82.54487,17-3813-51443,Popeye,46.44416667,-82.545,17-3813-51443,,342.3691101
Bad Vermilion,48.72571,-92.68243,15-5236-53978,Bad Vermilion,48.735,-92.67972222,15-5235-53978,,342.6352234
Oba,48.64543,-84.28872,16-6991-53906,Oba,48.63833333,-84.29694444,16-6991-53906,,342.7255249
Kapiskong,47.97534,-81.3826,17-4714-53134,Kapiskong,47.97527778,-81.38277778,17-4714-53134,,342.9295044
Lilac,48.29901,-92.37509,15-5464-53494,Lilac,48.29833333,-92.37388889,15-5464-53494,,343.0192871
Fall,48.79728,-88.63329,16-3800-54060,Fall,48.7975,-88.63388889,16-3800-54060,,343.0567017
Buckaday,48.98064,-87.75228,16-4450-54254,Buckaday,48.98111111,-87.75166667,16-4450-54254,,343.1865234
Garden,46.76463,-83.70654,17-2933-51822,Garden,46.76361111,-83.70722222,17-2933-51822,,344.4177246
Nursey,47.89868,-81.40566,17-4697-53049,Nursey,47.89861111,-81.40583333,17-4697-53049,,344.6242676
Dumbell,47.87667,-81.08547,17-4935-53022,Dumbell,47.87472222,-81.08638889,17-4935-53022,,344.6361084
Miner,48.80311,-88.62951,16-3803-54067,Miner,48.80361111,-88.62944444,16-3803-54067,,344.7164917
Lake of Bays,45.25269,-79.0313,17-6567-50131,Lake of Bays,45.25583333,-79.0025,17-6567-50131,,344.7616882
Kenogamissi,48.24057,-81.52985,17-4591-53367,Kenogamissi,48.18388889,-81.55,17-4591-53367,,344.7644653
Disraeli,49.13422,-88.982,16-3551-54440,Disraeli,49.13361111,-88.98666667,16-3551-54440,,344.8530579
Thompson,48.38777,-92.27777,15-5527-53591,Thompson,48.385,-92.28777778,15-5527-53591,,346.065033
Little Turtle,48.78047,-92.68563,15-5221-54041,Little Turtle,48.79111111,-92.69916667,15-5221-54041,,346.1804199
Burditt,48.96059,-93.77003,15-4430-54221,Burditt,48.95111111,-93.77833333,15-4430-54221,,347.1389465
Lena,48.05118,-84.683,16-6727-53244,Lena,48.05111111,-84.68305556,16-6727-53244,,347.1957397
Flack,46.58755,-82.78238,17-3634-51607,Flack,46.5875,-82.7825,17-3634-51607,,347.4458313
Kwinkwaga,48.80786,-85.33219,16-6225-54072,Kwinkwaga,48.80777778,-85.33222222,16-6225-54072,,347.8039551
Matthews,48.93675,-85.09856,16-6393-54219,Matthews,48.93666667,-85.09861111,16-6392-54219,,347.9765015
Captain Tom,48.47819,-92.31846,15-5503-53695,Captain Tom,48.47833333,-92.31888889,15-5503-53695,,348.0968323
Indian,48.03561,-81.60093,17-4553-53202,Indian,48.03555556,-81.60027778,17-4553-53202,,348.3460693
Shelden,46.58666,-83.59021,17-3014-51622,Shelden,46.58611111,-83.59166667,17-3014-51622,,348.531189
Lawrence,49.27504,-93.36566,15-4729-54570,Lawrence,49.2675,-93.37305556,15-4729-54570,,349.8971252
Shekak,49.09008,-85.08496,16-6398-54390,Shekak,49.09,-85.085,16-6398-54390,,350.0722046
Off,48.90206,-93.83011,15-4396-54165,Off,48.90055556,-93.82472222,15-4396-54165,,350.1668396
Eels,44.89509,-78.13984,17-7269-49741,Eels,44.88611111,-78.12638889,17-7269-49741,,350.4119873
Cloud,48.13648,-89.54093,16-3108-53342,Cloud,48.13527778,-89.54277778,16-3108-53342,,350.8450317
Loonhaunt,49.002,-93.50355,15-4632-54287,Loonhaunt,49.01222222,-93.50361111,15-4632-54287,,351.0021362
Stetham,47.83174,-81.58983,17-4558-52975,Stetham,47.83166667,-81.59,17-4559-52975,,351.116333
Tocheri,49.05147,-85.15469,16-6348-54346,Tocheri,49.05138889,-85.15472222,16-6348-54346,,351.291626
Baptiste,45.11648,-78.00344,18-2642-49981,Baptiste,45.09916667,-77.99638889,18-2642-49981,,352.0514221
Wasaw,48.7446,-93.57514,15-4579-53993,Wasaw,48.74694444,-93.5725,15-4579-53993,,352.0851135
Pipestone,49.09952,-93.54379,15-4595-54375,Pipestone,49.09111111,-93.55416667,15-4595-54375,,352.5081787
Schistose,49.15469,-93.60163,15-4562-54445,Schistose,49.15416667,-93.60083333,15-4562-54445,,352.7987671
Nameigos,48.78398,-84.70585,16-6678-54040,Nameigos,48.76833333,-84.71583333,16-6678-54040,,352.8845215
Carty,48.16538,-82.70049,17-3736-53361,Carty,48.16722222,-82.69944444,17-3736-53360,,352.979187
Callahan,47.5234,-84.51967,16-6867-52661,Callahan,47.52333333,-84.51972222,16-6867-52661,,353.2259521
Drag,45.07432,-78.41081,17-7042-49937,Drag,45.06944444,-78.40638889,17-7042-49937,,353.2998657
Lloyd,47.85644,-81.0022,17-5004-53007,Lloyd,47.86194444,-80.995,17-5004-53007,,353.6501465
Lowry,48.94751,-92.77819,15-5159-54211,Lowry,48.94472222,-92.7825,15-5159-54211,,354.1658325
Eagle,45.83223,-79.50188,17-6164-50763,Eagle,45.83277778,-79.50083333,17-6164-50763,,354.4949951
Kimball,45.34172,-78.67605,17-6818-50232,Kimball,45.34083333,-78.67916667,17-6818-50232,,354.9730225
Kawagama,45.29874,-78.75251,17-6767-50182,Kawagama,45.29666667,-78.74694444,17-6767-50182,,354.9790039
Bella,45.44431,-79.03118,17-6539-50341,Bella,45.44555556,-79.03194444,17-6539-50341,,355.085907
Nelson,46.72762,-81.09533,17-4928-51746,Nelson,46.72666667,-81.09444444,17-4928-51746,,355.3300781
Benson,45.41326,-79.06773,17-6512-50304,Benson,45.41277778,-79.06833333,17-6511-50304,,355.644989
Alder,44.86839,-78.14583,17-7255-49721,Alder,44.86833333,-78.14611111,17-7254-49721,,356.4620056
Pearceley,45.70041,-79.50356,17-6165-50616,Pearceley,45.7,-79.50416667,17-6165-50616,,356.4729919
Cairngorm,48.99187,-86.93716,16-5042-54260,Cairngorm,48.98916667,-86.94194444,16-5043-54260,,356.8445129
Rodd,47.17311,-80.63868,17-5274-52242,Rodd,47.17305556,-80.63833333,17-5274-52242,,356.9506226
Jackfish,47.99953,-85.58941,16-6052-53171,Jackfish,48.00055556,-85.58944444,16-6052-53171,,357.0168457
Wabatongushi,48.46364,-84.23041,16-7050-53715,Wabatongushi,48.46527778,-84.22694444,16-7050-53715,,357.4419861
Sill,46.77338,-84.24994,16-7100-51834,Sill,46.77333333,-84.25,16-7099-51834,,357.659668
Abigogami,48.99719,-88.82025,16-3670-54288,Abigogami,48.99944444,-88.81833333,16-3670-54288,,357.7145386
Kaiashkons,49.05496,-93.39573,15-4710-54335,Kaiashkons,49.05527778,-93.39666667,15-4710-54335,,357.9236755
Adelaide,47.05965,-84.31112,16-7046-52151,Adelaide,47.06,-84.30527778,16-7046-52151,,358.0212708
Otukamamoan,48.96084,-92.89431,15-5100-54230,Otukamamoan,48.96166667,-92.86333333,15-5100-54230,,358.1092529
Makami,47.73095,-81.84357,17-4372-52874,Makami,47.73861111,-81.8375,17-4372-52874,,358.4432983
Upper Pancake,47.10561,-84.61995,16-6806-52194,Upper Pancake,47.10555556,-84.62,16-6806-52194,,358.7727051
Priam,49.34673,-93.35655,15-4745-54662,Priam,49.35027778,-93.35111111,15-4745-54663,,359.5274048
Haliburton,45.1925,-78.40044,17-7045-50074,Haliburton,45.19277778,-78.39638889,17-7045-50075,,359.8543091
Banner,47.79376,-81.00072,17-4999-52930,Banner,47.7925,-81.00138889,17-4999-52930,,360.5427856
Heron,48.93116,-92.67054,15-5242-54196,Heron,48.93111111,-92.67027778,15-5241-54196,,361.302063
Mesomikenda,47.64812,-81.87872,17-4340-52773,Mesomikenda,47.64805556,-81.87888889,17-4340-52773,,361.5609741
McAree,48.28734,-91.92461,15-5787-53500,McAree,48.30055556,-91.93916667,15-5787-53500,,361.9512939
Catlonite,49.17841,-87.00698,16-4995-54471,Catlonite,49.17833333,-87.00694444,16-4995-54471,,363.7647705
Castra,46.57422,-83.18879,17-3323-51600,Castra,46.57416667,-83.18888889,17-3323-51599,,363.8021545
Katimiagamak,49.12173,-93.7193,15-4479-54411,Katimiagamak,49.12222222,-93.71444444,15-4479-54411,,363.8728638
Ear,47.82228,-84.68512,16-6735-52992,Ear,47.82472222,-84.6825,16-6735-52992,,364.0192566
Redstone,45.18369,-78.53568,17-6934-50060,Redstone,45.18305556,-78.53805556,17-6934-50060,,364.7363281
Bluffpoint,49.1767,-93.37447,15-4725-54467,Bluffpoint,49.17472222,-93.37666667,15-4726-54467,,364.9277649
Minn,48.34411,-91.89999,15-5812-53550,Minn,48.345,-91.90388889,15-5812-53550,,364.9782715
Oxtongue,45.36592,-78.91921,17-6628-50250,Oxtongue,45.36194444,-78.92138889,17-6628-50250,,366.3701172
Makobe,47.4477,-80.43034,17-5430-52549,Makobe,47.44833333,-80.42972222,17-5430-52549,,366.4260864
Forbes,49.07171,-88.85291,16-3647-54369,Forbes,49.07166667,-88.8525,16-3647-54369,,366.6786499
Oliver,48.26566,-89.58774,16-3081-53489,Oliver,48.26583333,-89.58611111,16-3081-53489,,366.8024902
Ketchini,47.85039,-81.90726,17-4322-53002,Ketchini,47.85333333,-81.90666667,17-4322-53002,,366.949646
Ministic,46.56112,-81.56769,17-4564-51563,Ministic,46.56083333,-81.56888889,17-4564-51563,,366.9733582
Beaverhouse,48.54596,-92.10223,15-5662-53769,Beaverhouse,48.54333333,-92.1025,15-5662-53769,,366.9989014
Semple,48.00111,-81.29998,17-4776-53163,Semple,48.00138889,-81.30055556,17-4776-53163,,367.8987122
Murphys,45.66067,-77.81168,18-2810-50600,Murphys,45.66111111,-77.81138889,18-2810-50600,,369.8439941
Old Woman,47.62155,-84.72187,16-6710-52766,Old Woman,47.6225,-84.72444444,16-6710-52766,,369.9122314
Joe,46.73708,-81.01196,17-4991-51755,Joe,46.73472222,-81.01138889,17-4991-51755,,370.4215393
Lower Manitou,49.27811,-92.94807,15-5023-54567,Lower Manitou,49.26472222,-92.96833333,15-5023-54567,,370.6810913
Upper Manitou,49.40161,-92.77724,15-5149-54725,Upper Manitou,49.40694444,-92.79527778,15-5149-54725,,372.0054321
Red Pine,45.20439,-78.70184,17-6806-50080,Red Pine,45.20416667,-78.7,17-6806-50080,,372.4376221
Pogamasing,46.96784,-81.83568,17-4364-52017,Pogamasing,46.96777778,-81.83583333,17-4364-52017,,373.1552429
Faraday,45.05977,-77.92222,18-2699-49935,Faraday,45.05972222,-77.9225,18-2699-49935,,373.6296997
Eltrut,49.00154,-92.41658,15-5429-54280,Eltrut,49.00555556,-92.41333333,15-5429-54280,,374.7803345
MacIntosh,48.74456,-88.69785,16-3752-54002,MacIntosh,48.74416667,-88.69722222,16-3752-54002,,374.9464722
Ninth,47.30503,-81.85852,17-4352-52392,Ninth,47.30472222,-81.85777778,17-4352-52392,,375.013855
Geiger,46.53217,-82.4864,17-3860-51538,Geiger,46.53027778,-82.48694444,17-3860-51538,,375.0296021
Gamsby,49.51785,-87.18172,16-4869-54848,Gamsby,49.51777778,-87.18166667,16-4868-54848,,375.069397
Long,49.44607,-92.32731,15-5477-54774,Long,49.44972222,-92.34222222,15-5477-54774,,375.2441101
Salmon Trout,45.19005,-77.81305,18-2790-50077,Salmon Trout,45.19,-77.81333333,18-2790-50077,,375.3794556
Rush,47.79333,-82.19307,17-4104-52936,Rush,47.79166667,-82.19611111,17-4104-52936,,376.3591309
Rollo,47.88286,-82.64873,17-3767-53044,Rollo,47.88277778,-82.64888889,17-3767-53044,,376.5856323
South Greenhill,48.45508,-83.88685,17-2866-53707,South Greenhill,48.455,-83.88694444,17-2866-53707,,376.7219238
Cobre,46.63533,-82.79405,17-3627-51660,Cobre,46.63527778,-82.79416667,17-3627-51660,,376.9077148
Hilma,48.72363,-88.6958,16-3752-53979,Hilma,48.72388889,-88.69666667,16-3752-53979,,377.1142578
Kirkpatrick,46.65714,-83.09401,17-3400-51692,Kirkpatrick,46.65888889,-83.09138889,17-3400-51692,,377.3673706
Sand,47.72534,-84.52605,16-6855-52885,Sand,47.72527778,-84.52611111,16-6855-52885,,377.4276123
Long,45.71027,-79.17508,17-6412-50632,Long,45.71,-79.18583333,17-6412-50632,,378.3760071
Dotty,45.46152,-78.99156,17-6571-50360,Dotty,45.46166667,-78.99083333,17-6571-50360,,378.6117554
Smoothwater,47.39379,-80.6852,17-5243-52488,Smoothwater,47.39416667,-80.6775,17-5243-52488,,378.6313477
Manion,48.90942,-92.31834,15-5502-54176,Manion,48.91138889,-92.31555556,15-5502-54176,,379.210083
Rapid,45.51247,-78.21316,17-7175-50433,Rapid,45.51111111,-78.215,17-7176-50433,,379.5918579
Three Ducks,47.54316,-81.90604,17-4323-52646,Three Ducks,47.54694444,-81.90527778,17-4319-52661,,380.1199951
Perch,48.74848,-91.83244,15-5849-53998,Perch,48.74694444,-91.84472222,15-5849-53998,,380.2049561
Wig,49.38507,-87.24311,16-4824-54701,Wig,49.385,-87.24305556,16-4824-54701,,381.001709
Denyes,47.84019,-82.78009,17-3670-52999,Denyes,47.84055556,-82.77722222,17-3670-52999,,381.1049805
Buck,46.98422,-83.8841,17-2807-52072,Buck,46.98416667,-83.88416667,17-2807-52072,,381.2319946
Calm,48.78402,-92.08944,15-5676-54025,Calm,48.77416667,-92.08055556,15-5676-54025,,381.3902893
Innes,48.82849,-88.70686,16-3750-54094,Innes,48.82722222,-88.70333333,16-3750-54094,,381.8225098
Rice,47.70129,-82.1231,17-4148-52820,Rice,47.68777778,-82.13472222,17-4148-52820,,384.525238
Chrysler,47.47118,-81.10758,17-4919-52573,Chrysler,47.47111111,-81.10777778,17-4919-52573,,384.7091675
Pettit,48.94535,-92.26647,15-5537-54222,Pettit,48.95194444,-92.26722222,15-5537-54222,,386.0327759
Little Dossier,47.76202,-84.71272,16-6714-52922,Little Dossier,47.76194444,-84.71277778,16-6714-52922,,386.9660339
Aylen,45.61836,-77.85586,18-2779-50548,Aylen,45.61333333,-77.84861111,18-2779-50548,,387.1471863
Sandbeach,48.95915,-92.20128,15-5586-54227,Sandbeach,48.95611111,-92.19888889,15-5586-54227,,387.3873901
Percy,45.20788,-78.36041,17-7080-50094,Percy,45.20916667,-78.35166667,17-7080-50094,,388.194397
