BsM_lakeName,latBsM,longBsM,bsmWaterbodyID,ARU_lakeName,latARU_conv,longARU_conv,ARU_LID,Notes,commonID
Dogtooth,49.69869,-94.15775,15-4148-55077,Dogtooth,49.71777778,-94.18194444,15-4148-55077,NA,Dogtooth_1
Donald,46.79829,-80.51028,17-5370-51830,Donald,46.80166667,-80.51527778,17-5370-51830,NA,Donald_1
Dotty,45.46152,-78.99156,17-6571-50360,Dotty,45.46166667,-78.99083333,17-6571-50360,NA,Dotty_1
Dovetail,48.87992,-92.0409,15-5704-54143,Dovetail,48.88,-92.04,15-5704-54143,NA,Dovetail_1
Dowswell,50.62006,-94.71704,15-3786-56088,Dowswell,50.62,-94.71666667,15-3786-56087,NA,Dowswell_1
Drag,45.07432,-78.41081,17-7042-49937,Drag,45.06944444,-78.40638889,17-7042-49937,NA,Drag_1
Driftwood,46.98242,-79.87887,17-5852-52035,Driftwood,46.98194444,-79.88,17-5852-52035,NA,Driftwood_1
Dryberry,49.54722,-93.85008,15-4395-54864,Dryberry,49.52916667,-93.83666667,15-4394-54864,NA,Dryberry_1
Dumbell,47.87667,-81.08547,17-4935-53022,Dumbell,47.87472222,-81.08638889,17-4935-53022,NA,Dumbell_1
Dunstan,45.58689,-79.04685,17-6523-50498,Dunstan,45.58666667,-79.0475,17-6523-50498,NA,Dunstan_1
Duval,46.72117,-83.05211,17-3432-51760,Duval,46.72111111,-83.05222222,17-3432-51760,NA,Duval_1
Eagle,45.13784,-78.49157,17-6973-50011,Eagle,45.13777778,-78.49027778,17-6973-50011,NA,Eagle_1
Eagle,45.83223,-79.50188,17-6164-50763,Eagle,45.83277778,-79.50083333,17-6164-50763,NA,Eagle_2
Eagle,44.68298,-76.69865,18-3651-49486,Eagle,44.67972222,-76.7025,18-3651-49486,NA,Eagle_3
Ear,47.82228,-84.68512,16-6735-52992,Ear,47.82472222,-84.6825,16-6735-52992,NA,Ear_1
Echo,45.17698,-79.06794,17-6520-50042,Echo,45.17722222,-79.06555556,17-6520-50042,NA,Echo_1
Echoing,54.52068,-92.24003,15-5492-60415,Echoing,54.52055556,-92.23972222,15-5492-60415,NA,Echoing_1
Edward,49.9464,-93.55602,15-4606-55329,Edward,49.94916667,-93.54944444,15-4606-55329,NA,Edward_1
Eels,44.89509,-78.13984,17-7269-49741,Eels,44.88611111,-78.12638889,17-7269-49741,NA,Eels_1
Elbow,50.1298,-87.7934,16-4433-55531,Elbow,50.12972222,-87.79333333,16-4433-55532,NA,Elbow_1
Elbow,48.6909,-88.73401,16-3724-53943,Elbow,48.69083333,-88.73388889,16-3724-53943,NA,Elbow_2
Elbow,44.62754,-76.72439,18-3632-49427,Elbow,44.62694444,-76.72472222,18-3632-49427,NA,Elbow_3
Elevation,48.3436,-90.87116,15-6577-53565,Elevation,48.34416667,-90.87166667,15-6577-53565,NA,Elevation_1
Ella,46.29967,-81.52069,17-4598-51271,Ella,46.29861111,-81.5225,17-4598-51272,NA,Ella_1
Ellen,48.14412,-85.38996,16-6192-53335,Ellen,48.14555556,-85.39805556,16-6192-53335,NA,Ellen_1
Eltrut,49.00154,-92.41658,15-5429-54280,Eltrut,49.00555556,-92.41333333,15-5429-54280,NA,Eltrut_1
Emerald,46.9159,-80.32312,17-5515-51958,Emerald,46.91583333,-80.32333333,17-5515-51958,NA,Emerald_1
Emily,44.44638,-78.57542,17-6930-49241,Emily,44.44638889,-78.575,17-6930-49241,NA,Emily_1
Empire,49.71999,-90.24726,15-6979-55108,Empire,49.71916667,-90.25444444,15-6979-55108,NA,Empire_1
Endikai,46.59111,-83.03067,17-3445-51613,Endikai,46.58944444,-83.03,17-3445-51613,NA,Endikai_1
Entwine,49.13684,-92.68273,15-5231-54423,Entwine,49.13527778,-92.68361111,15-5231-54423,NA,Entwine_1
Eskwanonwatin,49.16487,-88.61939,16-3820-54468,Eskwanonwatin,49.165,-88.61861111,16-3820-54468,NA,Eskwanonwatin_1
Eva,48.71744,-91.15971,15-6340-53970,Eva,48.71333333,-91.17805556,15-6340-53970,NA,Eva_1
Expanse,50.34437,-91.77352,15-5866-55770,Expanse,50.34083333,-91.78333333,15-5866-55770,NA,Expanse_1
Factor,48.70208,-92.0698,15-5688-53944,Factor,48.70055556,-92.06472222,15-5688-53944,NA,Factor_1
Fall,48.79728,-88.63329,16-3800-54060,Fall,48.7975,-88.63388889,16-3800-54060,NA,Fall_1
Fallingsnow,48.14185,-89.7849,16-2930-53355,Fallingsnow,48.14138889,-89.78305556,16-2930-53355,NA,Fallingsnow_1
Fanshawe,43.05847,-81.17886,17-4857-47670,Fanshawe,43.05722222,-81.17555556,17-4857-47670,NA,Fanshawe_1
Faraday,45.05977,-77.92222,18-2699-49935,Faraday,45.05972222,-77.9225,18-2699-49935,NA,Faraday_1
Farlain,44.81714,-79.97121,17-5814-49627,Farlain,44.81527778,-79.97111111,17-5814-49627,NA,Farlain_1
Fernow,49.91841,-86.05307,16-5680-55298,Fernow,49.91833333,-86.05305556,16-5680-55298,NA,Fernow_1
Finlayson,48.9101,-91.58889,15-6034-54181,Finlayson,48.90916667,-91.58944444,15-6034-54181,NA,Finlayson_1
Fitchie,50.61813,-90.53714,15-6742-56100,Fitchie,50.61805556,-90.53694444,15-6742-56100,NA,Fitchie_1
Flack,46.58755,-82.78238,17-3634-51607,Flack,46.5875,-82.7825,17-3634-51607,NA,Flack_1
Flame,47.28889,-83.17746,17-3354-52393,Flame,47.28833333,-83.17666667,17-3354-52393,NA,Flame_1
Fletcher,50.42908,-94.48032,15-3925-55861,Fletcher,50.41916667,-94.51361111,15-3925-55861,NA,Fletcher_1
Fletcher,45.35355,-78.78435,17-6738-50244,Fletcher,45.35388889,-78.78111111,17-6738-50244,NA,Fletcher_2
Floranna,48.1212,-83.31097,17-3280-53321,Floranna,48.12111111,-83.31111111,17-3280-53321,NA,Floranna_1
Florence,47.2431,-80.55819,17-5335-52315,Florence,47.23777778,-80.55777778,17-5335-52315,NA,Florence_1
Flying Loon,49.84431,-91.57267,15-6038-55223,Flying Loon,49.84583333,-91.55694444,15-6038-55223,NA,Flying Loon_1
Flynne,49.79314,-85.72027,16-5921-55162,Flynne,49.79305556,-85.72027778,16-5921-55162,NA,Flynne_1
Fog,50.22294,-90.43085,15-6832-55663,Fog,50.22222222,-90.43138889,15-6832-55663,NA,Fog_1
Forbes,49.07171,-88.85291,16-3647-54369,Forbes,49.07166667,-88.8525,16-3647-54369,NA,Forbes_1
Fork,48.71272,-90.69343,15-6696-53978,Fork,48.71194444,-90.69388889,15-6696-53978,NA,Fork_1
Fortune,48.6048,-81.89708,17-4339-53837,Fortune,48.60472222,-81.89722222,17-4339-53837,NA,Fortune_1
Fosters,45.24977,-77.67526,18-2900-50140,Fosters,45.24972222,-77.67555556,18-2900-50139,NA,Fosters_1
Four Mile,44.68172,-78.73724,17-6793-49499,Four Mile,44.68166667,-78.7375,17-6793-49498,NA,Four Mile_1
Fourth Depot,44.59153,-76.7891,18-3580-49390,Fourth Depot,44.59222222,-76.78888889,18-3580-49390,NA,Fourth Depot_1
Frank,50.16218,-87.90603,16-4359-55570,Frank,50.16361111,-87.89694444,16-4359-55570,NA,Frank_1
Frederick House,48.66063,-80.93786,17-5046-53895,Frederick House,48.66055556,-80.93805556,17-5046-53895,NA,Frederick House_1
Gamitagama,47.65757,-84.76551,16-6678-52804,Gamitagama,47.6575,-84.76555556,16-6678-52804,NA,Gamitagama_1
Gamsby,49.51785,-87.18172,16-4869-54848,Gamsby,49.51777778,-87.18166667,16-4868-54848,NA,Gamsby_1
Garden,46.76463,-83.70654,17-2933-51822,Garden,46.76361111,-83.70722222,17-2933-51822,NA,Garden_1
Gavor,47.10214,-84.01306,16-7267-52208,Gavor,47.10361111,-84.01194444,16-7267-52208,NA,Gavor_1
Geiger,46.53217,-82.4864,17-3860-51538,Geiger,46.53027778,-82.48694444,17-3860-51538,NA,Geiger_1
Gibraltar,50.0521,-91.07599,15-6378-55460,Gibraltar,50.0525,-91.07555556,15-6378-55460,NA,Gibraltar_1
Gillies,45.20467,-81.33557,17-4736-50056,Gillies,45.20555556,-81.33555556,17-4737-50056,NA,Gillies_1
Giroux,45.71367,-80.50404,17-5384-50622,Giroux,45.71388889,-80.50666667,17-5384-50622,NA,Giroux_1
Godson,49.60903,-92.76425,15-5172-54948,Godson,49.60777778,-92.76138889,15-5172-54948,NA,Godson_1
Golden,45.57388,-77.33611,18-3186-50482,Golden,45.56555556,-77.32472222,18-3186-50482,NA,Golden_1
Gong,47.07006,-83.53602,17-3074-52158,Gong,47.07,-83.53611111,17-3075-52158,NA,Gong_1
Goodwin,45.25505,-78.64918,17-6844-50137,Goodwin,45.255,-78.64944444,17-6844-50137,NA,Goodwin_1
Gordon,49.89387,-93.70945,15-4490-55266,Gordon,49.89166667,-93.71,15-4490-55266,NA,Gordon_1
Goulais,47.16373,-83.67077,17-2975-52266,Goulais,47.16333333,-83.67222222,17-2975-52266,NA,Goulais_1
Gould,44.59698,-81.19684,17-4839-49376,Gould,44.59388889,-81.2025,17-4839-49377,NA,Gould_1
Govan,45.13314,-76.79515,18-3587-49991,Govan,45.13305556,-76.79694444,18-3587-49991,NA,Govan_1
Graham,47.1448,-83.81865,17-2862-52249,Graham,47.14472222,-83.82027778,17-2862-52249,NA,Graham_1
Granite,50.46972,-89.76793,16-3040-55939,Granite,50.46666667,-89.76111111,16-3041-55939,NA,Granite_1
Great Mountain,46.158,-81.35883,17-4723-51114,Great Mountain,46.1575,-81.35861111,17-4723-51114,NA,Great Mountain_1
Greenbush,50.95093,-90.10466,15-7043-56488,Greenbush,50.95611111,-90.09138889,15-7043-56487,NA,Greenbush_1
Greenwater,48.57454,-90.42999,15-6904-53837,Greenwater,48.57916667,-90.41861111,15-6904-53837,NA,Greenwater_1
Greenwich,48.80501,-88.85841,16-3638-54070,Greenwich,48.80333333,-88.85472222,16-3638-54070,NA,Greenwich_1
Greenwood,48.41068,-90.77609,15-6648-53638,Greenwood,48.40805556,-90.77277778,15-6648-53638,NA,Greenwood_1
Grew,49.40645,-90.12211,15-7088-54764,Grew,49.40638889,-90.12194444,15-7088-54764,NA,Grew_1
Grey Trout,49.0294,-92.07951,15-5670-54304,Grey Trout,49.02472222,-92.08361111,15-5670-54304,NA,Grey Trout_1
Grouse,48.54321,-90.54489,15-6812-53794,Grouse,48.54333333,-90.54444444,15-6812-53794,NA,Grouse_1
Guilfoyle,49.75797,-82.36108,17-4019-55121,Guilfoyle,49.75527778,-82.36138889,17-4019-55121,NA,Guilfoyle_1
Gull,47.22479,-83.63434,17-3006-52333,Gull,47.22472222,-83.63444444,17-3006-52333,NA,Gull_1
Gull,46.92203,-80.18504,17-5618-51964,Gull,46.92055556,-80.18888889,17-5618-51964,NA,Gull_2
Gull,44.84876,-78.77936,17-6755-49685,Gull,44.85,-78.77972222,17-6755-49685,NA,Gull_3
Gullrock,50.96114,-93.64489,15-4567-56470,Gullrock,50.97472222,-93.61666667,15-4567-56470,NA,Gullrock_1
Gullwing,49.91183,-92.60645,15-5293-55287,Gullwing,49.91166667,-92.59138889,15-5293-55287,NA,Gullwing_1
Gurd,45.92921,-80.54408,17-5352-50862,Gurd,45.93,-80.54583333,17-5352-50862,NA,Gurd_1
Gustauson,49.62257,-91.85843,15-5826-54970,Gustauson,49.62222222,-91.85611111,15-5826-54970,NA,Gustauson_1
Haggart,50.88794,-94.98566,15-3615-56383,Haggart,50.88166667,-94.96944444,15-3615-56383,NA,Haggart_1
Haken,49.10397,-84.69439,16-6683-54413,Haken,49.10388889,-84.69444444,16-6683-54413,NA,Haken_1
Haliburton,45.1925,-78.40044,17-7045-50074,Haliburton,45.19277778,-78.39638889,17-7045-50075,NA,Haliburton_1
Hambly,44.46818,-76.68347,18-3661-49250,Hambly,44.46805556,-76.68388889,18-3661-49250,NA,Hambly_1
Hamilton,50.86908,-90.43634,15-6795-56370,Hamilton,50.85888889,-90.44916667,15-6795-56370,NA,Hamilton_1
Hammell,51.09368,-94.0448,15-4269-56605,Hammell,51.09361111,-94.04444444,15-4269-56605,NA,Hammell_1
Hanes,47.11457,-83.88482,17-2809-52215,Hanes,47.11277778,-83.88777778,17-2809-52215,NA,Hanes_1
Hangstone,46.81988,-79.88986,17-5845-51854,Hangstone,46.81916667,-79.89222222,17-5845-51855,NA,Hangstone_1
Hardiman,47.97112,-82.14951,17-4140-53137,Hardiman,47.97277778,-82.15222222,17-4140-53137,NA,Hardiman_1
Harmon,49.94546,-90.21669,15-6985-55358,Harmon,49.94388889,-90.23388889,15-6985-55358,NA,Harmon_1
Harris,49.59089,-80.82037,17-5128-54930,Harris,49.59166667,-80.82333333,17-5128-54930,NA,Harris_1
Hartman,49.74941,-92.45084,15-5396-55107,Hartman,49.74972222,-92.45,15-5396-55107,NA,Hartman_1
Hawk,49.76759,-93.99944,15-4279-55138,Hawk,49.77416667,-94.00111111,15-4279-55138,NA,Hawk_1
Hawkeye,48.68599,-89.45228,16-3199-53954,Hawkeye,48.68722222,-89.44666667,16-3199-53953,NA,Hawkeye_1
Head,44.74018,-78.91265,17-6651-49559,Head,44.73972222,-78.91416667,17-6651-49559,NA,Head_1
Heathcote,50.28283,-90.38144,15-6863-55732,Heathcote,50.28388889,-90.385,15-6863-55733,NA,Heathcote_1
Heathwalt,49.69835,-91.695,15-5948-55051,Heathwalt,49.69333333,-91.68611111,15-5948-55052,NA,Heathwalt_1
Helen,47.01777,-81.0952,17-4925-52070,Helen,47.01888889,-81.09805556,17-4925-52070,NA,Helen_1
Heron,48.93116,-92.67054,15-5242-54196,Heron,48.93111111,-92.67027778,15-5241-54196,NA,Heron_1
Herridge,46.98257,-79.82505,17-5893-52037,Herridge,46.9825,-79.82527778,17-5893-52037,NA,Herridge_1
Hiawatha,49.51536,-85.0119,16-6439-54864,Hiawatha,49.51527778,-85.01194444,16-6439-54864,NA,Hiawatha_1
Hik,50.35053,-91.51247,15-6060-55787,Hik,50.3525,-91.50972222,15-6060-55787,NA,Hik_1
Hillmer,49.91811,-82.88897,17-3644-55310,Hillmer,49.91777778,-82.88861111,17-3644-55310,NA,Hillmer_1
Hilma,48.72363,-88.6958,16-3752-53979,Hilma,48.72388889,-88.69666667,16-3752-53979,NA,Hilma_1
Holinshead,49.65403,-89.68153,16-3069-55034,Holinshead,49.65416667,-89.67555556,16-3069-55034,NA,Holinshead_1
Holly,49.43642,-90.08177,15-7111-54802,Holly,49.43972222,-90.08777778,15-7111-54802,NA,Holly_1
Holmes,48.01432,-80.50166,17-5372-53175,Holmes,48.01194444,-80.50055556,17-5373-53175,NA,Holmes_1
Home,48.39187,-90.91955,15-6539-53616,Home,48.39111111,-90.92138889,15-6539-53616,NA,Home_1
Hood,48.48629,-90.65282,15-6735-53727,Hood,48.48555556,-90.65222222,15-6735-53727,NA,Hood_1
Horseshoe,49.34622,-91.84931,15-5833-54665,Horseshoe,49.34777778,-91.85333333,15-5833-54665,NA,Horseshoe_1
Horwood,47.96766,-82.32184,17-4010-53144,Horwood,47.97694444,-82.32638889,17-4010-53144,NA,Horwood_1
Howes,44.50864,-76.67736,18-3665-49300,Howes,44.51305556,-76.67916667,18-3665-49300,NA,Howes_1
Humestone,49.41618,-80.71877,17-5202-54735,Humestone,49.41583333,-80.72111111,17-5202-54735,NA,Humestone_1
Hungry,44.80667,-76.89447,18-3503-49630,Hungry,44.80694444,-76.8925,18-3503-49630,NA,Hungry_1
Huronian,48.68758,-90.77235,15-6641-53950,Huronian,48.68833333,-90.77027778,15-6641-53950,NA,Huronian_1
Icarus,48.22011,-90.57186,15-6814-53436,Icarus,48.22166667,-90.55805556,15-6814-53436,NA,Icarus_1
Indian,48.03561,-81.60093,17-4553-53202,Indian,48.03555556,-81.60027778,17-4553-53202,NA,Indian_1
Indian,47.12966,-82.1271,17-4145-52197,Indian,47.12694444,-82.12666667,17-4146-52197,NA,Indian_2
Indian,49.54834,-91.66632,15-5965-54891,Indian,49.54888889,-91.66611111,15-5965-54891,NA,Indian_3
Indian,49.91552,-93.53218,15-4623-55297,Indian,49.92,-93.52583333,15-4622-55297,NA,Indian_4
Ingall,46.91053,-79.77762,17-5932-51960,Ingall,46.91277778,-79.77555556,17-5932-51960,NA,Ingall_1
Innes,48.82849,-88.70686,16-3750-54094,Innes,48.82722222,-88.70333333,16-3750-54094,NA,Innes_1
Irene,49.1255,-91.60496,15-6015-54420,Irene,49.12444444,-91.60833333,15-6015-54420,NA,Irene_1
Iron,46.50559,-83.93295,17-2748-51543,Iron,46.50694444,-83.935,17-2748-51543,NA,Iron_1
Isabella,45.40315,-79.81337,17-5930-50285,Isabella,45.40555556,-79.81166667,17-5930-50285,NA,Isabella_1
Island,47.51388,-80.5893,17-5310-52621,Island,47.51333333,-80.58888889,17-5310-52621,NA,Island_1
Ivanhoe,48.08286,-82.62678,17-3788-53266,Ivanhoe,48.08277778,-82.62694444,17-3788-53266,NA,Ivanhoe_1
Jack,44.69486,-78.03569,17-7358-49530,Jack,44.69388889,-78.02472222,17-7358-49530,NA,Jack_1
Jackfish,47.99953,-85.58941,16-6052-53171,Jackfish,48.00055556,-85.58944444,16-6052-53171,NA,Jackfish_1
Jacks,44.48677,-79.9956,17-5799-49262,Jacks,44.48666667,-79.99472222,17-5799-49262,NA,Jacks_1
Jacob,48.35246,-90.32642,15-6979-53586,Jacob,48.35194444,-90.32888889,15-6979-53586,NA,Jacob_1
James,49.15209,-93.06429,15-4953-54441,James,49.15166667,-93.06472222,15-4953-54441,NA,James_1
Jeanette,51.0898,-92.13638,15-5605-56599,Jeanette,51.08972222,-92.13611111,15-5605-56599,NA,Jeanette_1
Joe,46.73708,-81.01196,17-4991-51755,Joe,46.73472222,-81.01138889,17-4991-51755,NA,Joe_1
Jolly,49.16785,-89.45932,16-3207-54488,Jolly,49.16777778,-89.45916667,16-3207-54488,NA,Jolly_1
Joseph,45.17434,-79.7239,17-5998-50031,Joseph,45.17638889,-79.73027778,17-5998-50031,NA,Joseph_1
Jowsey,48.3748,-81.72373,17-4464-53580,Jowsey,48.37472222,-81.72388889,17-4464-53580,NA,Jowsey_1
Jumping Cariboo,46.88285,-79.78186,17-5933-51926,Jumping Cariboo,46.8825,-79.77583333,17-5933-51926,NA,Jumping Cariboo_1
Kabinakagami,48.90799,-84.40651,16-6893-54197,Kabinakagami,48.90305556,-84.41694444,16-6893-54197,NA,Kabinakagami_1
Kabinakagamisis,49.02999,-84.45079,16-6863-54334,Kabinakagamisis,49.0275,-84.45111111,16-6863-54334,NA,Kabinakagamisis_1
Kagawong,45.82922,-82.30542,17-3986-50757,Kagawong,45.82916667,-82.30555556,17-3986-50757,NA,Kagawong_1
Kaiashkons,49.05496,-93.39573,15-4710-54335,Kaiashkons,49.05527778,-93.39666667,15-4710-54335,NA,Kaiashkons_1
Kakagi,49.24073,-93.83253,15-4390-54514,Kakagi,49.21472222,-93.83722222,15-4390-54514,NA,Kakagi_1
Kalaco,47.17792,-81.39287,17-4702-52245,Kalaco,47.175,-81.39277778,17-4702-52245,NA,Kalaco_1
Kamaniskeg,45.41755,-77.68981,18-2891-50334,Kamaniskeg,45.42416667,-77.69638889,18-2891-50334,NA,Kamaniskeg_1
Kamikau,48.30997,-90.3213,15-6986-53540,Kamikau,48.31027778,-90.32194444,15-6986-53540,NA,Kamikau_1
Kapiskong,47.97534,-81.3826,17-4714-53134,Kapiskong,47.97527778,-81.38277778,17-4714-53134,NA,Kapiskong_1
Kapuskasing,48.4837,-82.94457,17-3563-53717,Kapuskasing,48.48361111,-82.94472222,17-3563-53716,NA,Kapuskasing_1
Kashabowie,48.71886,-90.39423,15-6913-53983,Kashabowie,48.71027778,-90.39972222,15-6913-53983,NA,Kashabowie_1
Kashaweogama,50.42091,-90.74437,15-6603-55876,Kashaweogama,50.42083333,-90.74416667,15-6603-55876,NA,Kashaweogama_1
Kashishibog,49.80782,-89.97097,16-2863-55212,Kashishibog,49.80722222,-89.97,16-2863-55212,NA,Kashishibog_1
Kashwakamak,44.8566,-77.0385,18-3389-49691,Kashwakamak,44.85888889,-77.03944444,18-3389-49691,NA,Kashwakamak_1
Katagi,47.90867,-81.96916,17-4271-53064,Katagi,47.90916667,-81.97583333,17-4271-53065,NA,Katagi_1
Katchewanooka,44.45749,-78.2587,17-7182-49263,Katchewanooka,44.45916667,-78.25666667,17-7182-49263,NA,Katchewanooka_1
Katimiagamak,49.12173,-93.7193,15-4479-54411,Katimiagamak,49.12222222,-93.71444444,15-4479-54411,NA,Katimiagamak_1
Katzenbach,48.06369,-85.33663,16-6239-53245,Katzenbach,48.06361111,-85.33666667,16-6239-53245,NA,Katzenbach_1
Kawagama,45.29874,-78.75251,17-6767-50182,Kawagama,45.29666667,-78.74694444,17-6767-50182,NA,Kawagama_1
Kawaweogama,50.19687,-90.18618,15-7008-55644,Kawaweogama,50.19944444,-90.18583333,15-7008-55644,NA,Kawaweogama_1
Kawene,48.7611,-91.20623,15-6315-54021,Kawene,48.75972222,-91.21111111,15-6315-54021,NA,Kawene_1
Kay,49.23546,-91.47242,15-6111-54547,Kay,49.23694444,-91.47333333,15-6111-54547,NA,Kay_1
Kearns,49.50753,-90.01676,15-7163-54881,Kearns,49.50861111,-90.01194444,15-7163-54881,NA,Kearns_1
Keg,50.99542,-93.68541,15-4520-56490,Keg,50.99222222,-93.68361111,15-4520-56490,NA,Keg_1
Kelly,45.7037,-77.32428,18-3191-50636,Kelly,45.70444444,-77.32444444,18-3190-50636,NA,Kelly_1
Kennebec,44.74021,-76.96521,18-3444-49557,Kennebec,44.74,-76.96555556,18-3444-49557,NA,Kennebec_1
Kenogamisis,49.70602,-86.85844,16-5087-55041,Kenogamisis,49.69111111,-86.87916667,16-5087-55041,NA,Kenogamisis_1
Kenogamissi,48.24057,-81.52985,17-4591-53367,Kenogamissi,48.18388889,-81.55,17-4591-53367,NA,Kenogamissi_1
Kesagami,50.32589,-80.24009,17-5547-55801,Kesagami,50.37277778,-80.23027778,17-5547-55801,NA,Kesagami_1
Ketchini,47.85039,-81.90726,17-4322-53002,Ketchini,47.85333333,-81.90666667,17-4322-53002,NA,Ketchini_1
Kilbarry,51.11995,-88.82077,16-3721-56638,Kilbarry,51.11361111,-88.8275,16-3721-56638,NA,Kilbarry_1
Kilgour,49.24343,-87.89394,16-4348-54546,Kilgour,49.24305556,-87.89638889,16-4348-54546,NA,Kilgour_1
Kimball,45.34172,-78.67605,17-6818-50232,Kimball,45.34083333,-78.67916667,17-6818-50232,NA,Kimball_1
Kirkness,51.5321,-93.92675,15-4356-57093,Kirkness,51.53277778,-93.92888889,15-4356-57093,NA,Kirkness_1
Kirkpatrick,46.65714,-83.09401,17-3400-51692,Kirkpatrick,46.65888889,-83.09138889,17-3400-51692,NA,Kirkpatrick_1
Kittson,47.33973,-79.95931,17-5787-52433,Kittson,47.34055556,-79.95805556,17-5787-52433,NA,Kittson_1
Klotz,49.80202,-85.86278,16-5818-55170,Klotz,49.80194444,-85.86277778,16-5818-55170,NA,Klotz_1
Kokoko,47.08895,-80.03639,17-5733-52151,Kokoko,47.08694444,-80.03444444,17-5733-52151,NA,Kokoko_1
Kukukus,49.7724,-91.68396,15-5946-55139,Kukukus,49.77194444,-91.68611111,15-5946-55139,NA,Kukukus_1
Kwagama,47.44016,-84.58345,16-6823-52566,Kwagama,47.43888889,-84.58222222,16-6823-52566,NA,Kwagama_1
Kwinkwaga,48.80786,-85.33219,16-6225-54072,Kwinkwaga,48.80777778,-85.33222222,16-6225-54072,NA,Kwinkwaga_1
La Cloche,46.135,-82.04774,17-4169-51104,La Cloche,46.14444444,-82.07611111,17-4169-51104,NA,La Cloche_1
Lac Seul,50.40282,-92.47874,15-5365-55747,Lac Seul,50.325,-92.48694444,15-5365-55747,NA,Lac Seul_1
Lac des Iles,49.20226,-89.61011,16-3103-54530,Lac des Iles,49.20222222,-89.60472222,16-3103-54530,NA,Lac des Iles_1
Lac des Mille Lacs,48.87653,-90.51282,15-6827-54135,Lac des Mille Lacs,48.84916667,-90.51027778,15-6826-54135,NA,Lac des Mille Lacs_1
Lady Evelyn,47.35053,-80.14644,17-5608-52396,Lady Evelyn,47.30944444,-80.19611111,17-5608-52397,NA,Lady Evelyn_1
Lake of Bays,49.98409,-91.28781,15-6207-55385,Lake of Bays,49.98888889,-91.31638889,15-6207-55385,NA,Lake of Bays_1
Lake of Bays,45.25269,-79.0313,17-6567-50131,Lake of Bays,45.25583333,-79.0025,17-6567-50131,NA,Lake of Bays_2
Lang,46.16152,-81.66548,17-4485-51124,Lang,46.165,-81.66722222,17-4485-51124,NA,Lang_1
Langford,45.454,-79.28835,17-6339-50346,Langford,45.45388889,-79.28805556,17-6339-50346,NA,Langford_1
Larder,48.08541,-79.64223,17-6010-53265,Larder,48.08555556,-79.64361111,17-6010-53265,NA,Larder_1
Larson,49.63867,-92.61703,15-5276-54985,Larson,49.64055556,-92.61805556,15-5276-54985,NA,Larson_1
Lauzon,46.21199,-82.82266,17-3592-51192,Lauzon,46.21416667,-82.82555556,17-3592-51192,NA,Lauzon_1
Lawagamau,49.83328,-80.07989,17-5662-55201,Lawagamau,49.83194444,-80.07944444,17-5662-55201,NA,Lawagamau_1
Lawrence,49.27504,-93.36566,15-4729-54570,Lawrence,49.2675,-93.37305556,15-4729-54570,NA,Lawrence_1
Leatherroot,45.17317,-77.20911,18-3264-50044,Leatherroot,45.17361111,-77.20972222,18-3264-50044,NA,Leatherroot_1
Leishman,46.71227,-83.95743,17-2739-51772,Leishman,46.71222222,-83.9575,17-2740-51772,NA,Leishman_1
Lena,48.05118,-84.683,16-6727-53244,Lena,48.05111111,-84.68305556,16-6727-53244,NA,Lena_1
Lilac,48.29901,-92.37509,15-5464-53494,Lilac,48.29833333,-92.37388889,15-5464-53494,NA,Lilac_1
Lingman,53.85483,-92.85197,15-5089-59670,Lingman,53.85305556,-92.86527778,15-5089-59670,NA,Lingman_1
Little,44.42642,-79.67346,17-6058-49199,Little,44.42666667,-79.67111111,17-6058-49199,NA,Little_1
Little,44.81843,-79.7132,17-6016-49633,Little,44.81777778,-79.715,17-6016-49633,NA,Little_2
Little Abitibi,49.4068,-80.54886,17-5331-54730,Little Abitibi,49.41083333,-80.54333333,17-5331-54730,NA,Little Abitibi_1
Little Bald,44.57455,-78.41518,17-7050-49386,Little Bald,44.57388889,-78.41805556,17-7050-49386,NA,Little Bald_1
Little Burwash,47.13256,-81.09204,17-4930-52197,Little Burwash,47.1325,-81.09222222,17-4930-52197,NA,Little Burwash_1
Little Chiblow,46.357,-83.13157,17-3360-51357,Little Chiblow,46.35694444,-83.13166667,17-3360-51357,NA,Little Chiblow_1
