Cycle,FMZ,Lake Name,waterbodyID,Latitude,Longitude,secchiDepth,COLTR (TCU),pH,cond,alk,Ca,MGUT (mg/L),Na,KKUT (mg/L),CLIDUR (mg/L),SSO4UR (mg/L),SIO3UR (mg/L),FEUT,DIC,DOC,NNHTUR (mg/L),NNOTUR (ug/L),NNTKUR (ug/L),TDP
3,4,Abram L.,15-5765-55453,50.05909,-91.92916,2.5,75.299,7.25,74.4,27.199,10.699,2.25,0.915,0.623,0.426,2.95,1.78,112,7.379,11.1,10,86.7,370,12.85
3,4,Amik L.,15-5782-55201,49.83026,-91.91356,1.8,66.2,7.269,53.6,22.899,6.839,1.98,1.28,0.555,0.23,1.1,1.84,130,4.74,12,42,26,398,16.1
3,4,Arc L.,15-6471-56202,50.71702,-90.90662,3.1,47.299,7.41,49.899,22.199,6.839,1.74,0.585,0.42,0.15,0.8,1.62,50,4.48,8.8,26,20,270,6.3
3,4,Arethusa L.,15-5837-55088,49.71847,-91.86176,2.3,20.8,7.29,45,19.899,5.4,1.34,1.26,0.54,0.18,1.35,1.12,60,4.059,6.2,36,2,283,11.1
3,4,Bawden L.,15-6011-55383,49.99869,-91.58399,2,97.7,7.099,51.299,21.3,6.929,1.84,0.843,0.674,0.201,0.621,1.69,177,5.49,13.4,14.5,103,470,16.25
3,4,Bell L.,15-6500-55194,49.80966,-90.93897,4,16,7.04,44.5,18.8,6.21,0.189,0.781,0.522,0.147,1.449,0.93,30,4.799,5.049,10,44.1,270,6.815
3,4,Berens L.,15-4525-57350,51.75814,-93.71456,1,146,7.04,44.2,20.1,6.41,1.73,0.752,0.719,0.137,0.464,2.21,620,4.5,15,10,44.299,430,40.35
3,4,Bertaud L.,15-6617-56410,50.89944,-90.69978,1.5,64.799,7.23,42.5,18.1,6.08,1.439,0.49,0.41,0.14,0.85,1.34,100,3.72,11.4,32,54,325,6.9
3,4,Big Canon L.,15-4455-55462,50.06847,-93.75888,4,19.699,7.08,45.2,19.3,4.849,1.659,1.129,0.689,0.194,1.86,0.48,49,4.61,6.389,10,30.899,280,9.63
3,4,Big Fox L.,15-4131-55595,50.17355,-94.19317,1.5,75.599,7.299,81.099,31.6,10.1,2.609,2.129,0.951,1.74,2.299,1.139,281,7.83,11.3,10,74.799,430,24.1
3,4,Big Sandy L.,15-5463-55189,49.82359,-92.36295,3.1,16,7.889,143,66.2,19.6,4.36,2.64,1.09,2.27,2.399,1.08,30,15.199,6.299,26,18,282,11
3,4,Big Vermilion L.,15-5556-55428,50.04484,-92.20826,6,14.9,7.62,131,60.5,18.899,3.569,1.449,0.896,0.452,2.23,1.889,30,15.1,4.679,10,28.199,220,11.13
3,4,Birch L.,15-5452-56951,51.39338,-92.37217,3.5,22.399,7.4,57.2,25.8,8.859,1.34,0.59,0.515,0.14,1.2,0.78,30,5.9,7.099,26,2,261,8.199
3,4,Blair L.,15-4919-56922,51.37386,-93.11465,2,107,6.54,22.699,6.639,2.45,0.705,0.712,0.926,0.232,1.04,1.449,402,1.97,12.1,10,62.6,360,16.5
3,4,Botsford L.,15-5970-55554,50.13856,-91.6591,2.5,88,7.25,68.599,29.3,9.98,2.169,0.855,0.617,0.334,2.62,1.76,176,6.58,11.8,10,88.7,420,14.5
3,4,Bury L.,15-6143-55885,50.43634,-91.3911,1.5,65.099,7.519,78.299,36.2,10.8,2.64,0.785,0.67,0.24,1.149,2,70,7.66,10.8,36,48,343,10.199
3,4,Cecil L.,15-6164-54885,49.54021,-91.40065,3.4,6.16,7.509,91.599,36.899,11.199,2.629,2.31,0.7,2.62,2.399,1.399,400,8.039,3.6,26,2,203,10.399
3,4,Clay L.,15-4653-55440,50.04611,-93.48572,0.9,79.599,7.54,116,41.7,12.6,3.08,6.879,1.26,4.839,4.75,1.2,310,9.859,10.699,104,14,499,48.599
3,4,Cliff L.,15-4785-55574,50.16879,-93.29998,3.3,16.8,7.54,80.7,34.299,9.64,2.5,2.45,0.76,2.49,1.649,0.78,20,8.599,6.2,26,2,285,10.199
3,4,Confederation L.,15-5210-56629,51.11521,-92.67556,5.5,19.6,7.11,51.799,21.1,7.87,1.05,0.586,0.549,0.149,1.24,0.44,33,5.549,6.519,10,46.299,280,9.025
3,4,Crystal L.,15-6321-55100,49.72882,-91.1675,1.5,128,7.059,43,16.8,6.799,1.34,0.836,0.518,0.291,0.896,2.08,171,4.2,14.6,12,30,440,11.15
3,4,Delaney L.,15-4250-55493,50.09299,-94.048,5,6.99,6.96,36.799,12.8,3.85,1.189,0.999,0.526,0.423,2.399,0.23,30,3.419,3.399,11.3,5,240,8.769
3,4,Eye L.,15-4642-55404,50.01584,-93.50594,2.3,53.399,7.389,84.7,38.399,8.49,3.899,2.58,1.1,0.238,0.89,3.009,235,9.47,10.8,27.199,109,540,25.05
3,4,Fitchie L.,15-6742-56100,50.61813,-90.53714,1.8,72.2,7.44,60.299,25.5,8.619,1.78,0.81,0.495,0.78,0.75,1.24,130,5.32,11.1,32,8,358,10.3
3,4,Gibraltar L.,15-6378-55460,50.0521,-91.07599,2,95.099,6.969,36.6,14.8,6,0.772,0.536,0.275,0.087,0.796,1.629,128,3.64,12.5,11.4,59.899,410,10.85
3,4,Gooch L.,15-6046-55042,49.69139,-91.55158,1.5,127,6.99,37.7,12.199,4.78,1.429,0.876,0.761,0.262,3,1.69,193,2.6,14.199,30,73.299,530,21.5
3,4,Greenbush L.,15-7043-56488,50.95093,-90.10466,2.1,41.399,7.509,63.6,29.6,9.38,2.009,0.395,0.4,0.16,0.55,0.4,80,5.799,10.4,30,110,366,7.099
3,4,Gullrock L.,15-4567-56470,50.96114,-93.64489,1.7,41.299,7.4,75.299,25.8,9.019,2.169,2.089,0.835,2.259,5.25,1.8,60,5.679,9.8,56,2,370,20.6
3,4,Gustauson L.,15-5826-54970,49.62257,-91.85843,3,17.1,6.809,21.699,6.969,2.279,0.587,0.869,0.379,0.131,1.629,0.69,88,2.129,4.4,10,22.199,260,7
3,4,Hartman L.,15-5396-55107,49.74941,-92.45084,3.5,9.189,7.61,133,36.899,12,2.79,9,0.935,15.1,2.049,0.36,20,8.419,4.9,30,2,354,10.6
3,4,Indian L.,15-5965-54891,49.54834,-91.66632,2.1,24.6,7.339,63.299,22.6,7.059,1.53,2.74,0.595,3.14,1.7,2.919,60,4.82,6,36,4,243,9.599
3,4,Keg L.,15-4520-56490,50.99542,-93.68541,1.4,43.2,7.299,80.599,22.899,9,2.2,2.549,0.935,3,7.65,1.58,80,5.32,9.599,54,28,351,17.799
3,4,Kukukus L.,15-5946-55139,49.7724,-91.68396,3,36.2,7.12,46.899,19.3,5.799,1.54,1.26,0.582,0.203,1.24,1.26,93,5.12,7.139,20.699,51.1,390,14.85
3,4,Little Sandbar L.,15-6059-54782,49.45098,-91.54113,1.5,25.6,7.299,60.899,19.399,6.48,1.35,2.839,0.565,4.179,1.2,3.2,100,4.32,6.2,36,4,260,11.8
3,4,Longlegged L.,15-4172-56262,50.78395,-94.17453,2.3,25.899,7.379,55.799,23.699,6.259,2.149,1.169,0.8,0.26,1.5,0.3,70,5.599,8.5,32,2,349,15.5
3,4,Mameigwess L.,15-5853-54894,49.55072,-91.82545,4,9.33,7.24,58.899,25.899,7.58,1.639,1.35,0.623,0.272,1.98,1.31,30,6.45,2.25,10,5,200,7.15
3,4,Miniss L.,15-6523-56318,50.82132,-90.87326,1.7,59.1,7.32,46.6,20.199,6.36,1.649,0.58,0.455,0.16,0.9,1.7,80,4.259,9.699,36,28,292,7.4
3,4,Minnitaki L.,15-5735-55360,49.97183,-91.95802,2.5,74.4,7.16,52,20,6.629,1.62,1.379,0.622,0.897,1.49,2.73,202,5.019,10,10,111,380,13.199
3,4,Mold L.,15-5282-55495,50.09953,-92.6059,3,59.5,6.759,21.8,7.86,2.12,0.79,0.678,0.524,0.127,0.958,1.99,239,2.419,8.49,10,37.2,270,9.494
3,4,Mud L.,15-5802-54916,49.57403,-91.89103,3,14.5,7.07,35.7,14.9,4.179,1.01,1.09,0.43,0.182,1.409,0.78,51,3.79,3.839,18.5,5.9,320,8.859
3,4,Nungesser L.,15-4613-57020,51.47248,-93.53952,2.2,72.4,7.07,32.899,12.9,4.219,1.01,0.88,0.495,0.17,0.8,2.6,340,3.06,10.4,32,20,324,15.699
3,4,Pakwash L.,15-4660-56220,50.74727,-93.50609,1.5,62.399,7.429,80.7,33.1,10.6,2.48,1.59,1.02,1.159,3.2,1.96,130,7.58,11.3,42,30,427,22.399
3,4,Pashkokogan L.,15-6895-56512,50.98287,-90.30102,1.8,38.399,7.469,58.6,26.3,8.96,1.879,0.625,0.45,0.37,0.65,1.12,80,5.5,8,34,12,279,8.199
3,4,Pelican L.,15-5737-55520,50.1115,-91.96123,4,58.899,7.219,67.599,27.3,8.859,1.96,1.5,0.646,1.159,2.359,2.12,128,6.53,9.25,10,84.5,360,11.949
3,4,Penassi L.,15-6300-55346,49.95125,-91.19549,3,56.6,7.129,47.799,19.699,6.719,1.409,0.823,0.479,0.233,1.07,1.149,79,4.95,9.869,10,42.1,370,11.1
3,4,Pikangikum L.,15-4304-57399,51.80217,-93.99622,0.5,151,7.08,47.6,20.399,6.87,1.76,0.708,0.685,0.124,0.451,2.1,692,4.83,14.6,14.8,45.7,440,41.549
3,4,Premier L.,15-5213-56724,51.20424,-92.69474,5.5,40.2,7.019,50.1,16.3,7.12,1.04,0.636,0.577,0.146,4.75,0.7,54,4.16,7.469,12.6,46,320,9.185
3,4,Press L.,15-6090-55164,49.79986,-91.50461,1.8,97.2,6.969,38,14.1,4.86,1.23,1.379,0.616,0.934,1.07,3.23,324,3.45,11.3,10,87.799,370,14.199
3,4,Red L.,15-4335-56548,51.06421,-93.95704,2.8,44.5,7.29,57.299,23.399,7.639,1.95,1.429,0.725,1.03,1.899,1.76,70,5.179,9.5,42,56,337,20.199
3,4,Savant L.,15-6825-55952,50.4823,-90.42741,3,20.699,7.259,43.799,19.399,6.44,1.05,0.46,0.41,0.15,1.1,0.66,20,4.099,6.299,24,8,229,6.5
3,4,Selwyn L.,15-6531-54804,49.45958,-90.89168,1.7,76.299,7.07,30.699,12,3.48,0.958,1.03,0.575,0.35,0.9,4.08,390,2.62,9,36,20,269,9.4
3,4,Seseganaga L.,15-6890-55500,50.06571,-90.35308,2.1,41.2,7.049,27.5,10.699,3.18,0.966,0.745,0.405,0.17,0.95,2.439,80,2.359,7.2,22,22,262,6.5
3,4,Shabu L.,15-5045-56849,51.31424,-92.93967,3,52.799,6.969,34.6,13.3,4.58,0.992,0.661,0.474,0.179,0.894,0.98,126,3.5,9.009,10,34.1,340,10.949
3,4,Silcox L.,15-4741-57335,51.75362,-93.37461,1.5,75.9,7.12,56,24.6,7.49,1.96,0.981,0.733,0.152,0.663,2.14,403,6.19,10.3,16.699,113,390,34.25
3,4,Silver L.,15-6881-55875,50.41174,-90.35324,1.8,69.4,7.219,41.5,17.199,7.2,0.76,0.395,0.27,0.12,0.9,1.34,70,3.62,11.9,26,1,361,6.699
3,4,Singapore L.,15-6244-55581,50.16413,-91.26503,4,73.299,7.07,47.2,16.899,6.58,1.35,0.788,0.443,0.28,3.009,1.429,130,4.099,10.3,10,58.7,340,10.15
3,4,Smye L.,15-6889-55829,50.3698,-90.34435,1.6,83.799,6.809,20.699,6.33,2.459,0.714,0.5,0.35,0.13,0.55,1.94,180,1.48,11.9,22,26,293,6.099
3,4,Sowden L.,15-6304-54898,49.54735,-91.20672,1.7,85.099,7.099,35.899,14.199,4.28,1.08,1.159,0.545,0.62,1.05,3.779,400,2.859,10.1,30,68,302,9.9
3,4,Sturgeon L.,15-6600-55380,49.92729,-90.89686,4.7,17.3,7.36,83.9,25.6,11.5,1.84,0.86,0.5,0.34,12,1.139,10,5.2,5.7,18,30,218,6
3,4,Sup L.,15-4602-55724,50.30519,-93.55796,2,31.699,7.419,88.9,41.299,11.199,3.299,1.23,0.852,0.222,1.07,0.87,77,9.96,8.38,29.199,6.5,430,19.899
3,4,Thaddeus L.,15-5085-55575,50.17463,-92.89251,3.5,11.3,7.91,163.5,81.9,24.199,5.379,1.53,1.08,0.31,1.3,0.76,90,19.199,5.599,34,6,297,12.1
3,4,Tide L.,15-4305-55763,50.33775,-93.98355,1.5,71.799,7.32,78.5,31.5,10.4,2.56,1.35,0.862,0.877,2.2,1.52,194,7.639,12,10,77.099,430,19.449
3,4,Tom L.,15-4238-55430,50.03637,-94.06278,3,19.399,6.75,21.8,6.23,2.25,0.624,0.678,0.27,0.234,1.639,1.389,58,1.81,7.559,10,21.3,270,6.719
3,4,Towers L.,15-6233-55269,49.88748,-91.2871,2,68.799,7.259,70.799,31.8,10.4,1.879,1,0.675,0.229,1.29,2.89,75,7.83,11.199,10,51.5,410,14.05
3,4,Umfreville L.,15-3754-55732,50.32297,-94.83832,1.8,42.2,7.62,83.7,34.899,11,2.52,2.459,0.725,1.429,2.549,0.46,110,7.9,8.8,24,4,309,16
3,4,Unnamed L. (FMZ04_01),15-5752-55022,49.66803,-91.95766,2,48.7,6.769,21.1,6.36,2.27,0.629,0.941,0.298,0.151,1.179,1.83,150,1.96,7.799,15.8,50.5,350,11.8
3,4,Victoria L.,15-6048-54975,49.62381,-91.54686,4,25.1,7.19,45.799,19.8,6.059,1.35,1.03,0.505,0.235,1.79,1.3,32,4.78,6.03,10,37.899,260,8.529
3,4,Wabaskang L.,15-4880-55820,50.38864,-93.22539,2.8,18.699,7.669,117,55.2,15.4,3.94,2.14,0.895,1.72,1.25,0.84,60,12.8,7.4,46,2,366,18.699
3,4,Wapesi L.,15-5464-56006,50.54216,-92.33631,1.1,120,7.37,63.5,27.899,9.539,2.169,0.785,0.655,0.17,0.9,2.439,260,6.36,15.4,66,14,467,23.2
3,4,Wavell L.,15-5209-57140,51.5779,-92.69876,2,134,6.32,18.6,5.179,2.22,0.642,0.569,0.466,0.091,0.454,1.98,690,1.47,14.4,10,70.7,390,16.199
3,4,Whitemud L.,15-5192-56320,50.8448,-92.73259,1,174,6.66,26.899,924,3.94,1.03,0.516,0.511,0.101,0.449,2.04,381,2.14,18.899,14.3,63,500,16.899
3,4,Wintering L.,15-6217-55096,49.72761,-91.31415,1.5,67.2,7.219,60.5,24.3,8.369,2.009,1.29,0.516,1.159,0.825,1.649,160,6.16,11.6,39.7,26.1,530,20.949
3,4,Woman L.,15-5179-56721,51.20095,-92.75446,4,33,7.259,77.9,33.899,11.8,1.8,0.722,0.586,0.23,2.94,1.389,47,8.33,7.7,10,59.2,310,10.9
3,5,Cross L.,15-4115-55351,49.96489,-94.23609,3.5,33.5,6.73,20.3,6.129,1.98,0.69,0.695,0.411,0.164,1.189,1.07,127,1.679,7.419,10,5,320,7.714
3,5,Daniels L.,15-4399-55286,49.92424,-93.85166,6.5,7.98,6.799,22.6,7.089,2.18,0.651,0.536,0.414,0.255,2.35,0.29,30,2,3.859,10,44.1,200,4.344
3,5,Dinorwic L.,15-5320-54970,49.62051,-92.56305,2,104,7.23,66.4,24.8,9.109,1.679,2.379,0.675,2.52,1.25,2.31,402,6.139,11.699,11.1,57.899,420,18.05
3,5,Dore L.,15-5124-54968,49.61582,-92.83074,3,37.799,7.23,63.2,22.3,7.61,1.659,2.43,0.867,2.649,1.25,0.88,75,5.669,9.75,13.6,5,470,15.65
3,5,Eagle L.,15-4950-55030,49.66881,-93.27879,3,19.899,7.129,53.5,19.5,5.889,1.77,2.009,0.717,1.47,1.47,0.63,59,5.21,7,11.4,41.799,380,13.85
3,5,Edward L.,15-4606-55329,49.9464,-93.55602,2,40,7.21,45.1,18.699,5.549,1.5,1.01,0.593,0.372,1.11,1.08,274,4.66,8.5,35.7,23.699,460,26.05
3,5,Godson L.,15-5172-54948,49.60903,-92.76425,1.5,82.599,7.139,67,19.699,8.019,1.179,3.669,0.778,5.269,1.12,2.589,251,4.87,12.9,29.3,61.899,550,20
3,5,Lawrence L.,15-4729-54570,49.27504,-93.36566,4,31,6.919,29.6,9.429,3.21,0.929,1.11,0.596,0.344,1.53,1.27,67,2.48,8.24,10,98.599,340,6.695
3,5,Lower Manitou L.,15-5023-54567,49.27811,-92.94807,7,12.4,7.28,67.599,27.1,10.3,1.169,1.389,0.489,1.11,2.169,1.139,30,6.86,5.059,10,47.2,250,6.644
3,5,"of the Woods, L.",15-3726-54565,49.32857,-94.50117,1.3,53.799,7.19,105,41.299,11.3,4.15,3.109,1.3,2.74,5.099,2.08,200,9.82,9.599,36,128,443,31.399
3,5,"of the Woods, L.",15-3726-54565,49.32857,-94.50117,2,31.6,7.28,117.5,50.5,13.3,4.7,2.6,0.9,2.279,3.95,2.12,30,12,10.3,30,78,578,22
3,5,"of the Woods, L.",15-3726-54565,49.32857,-94.50117,3.5,27.399,7.169,106,46,12.199,4.25,2.359,0.82,1.94,3.5,1.84,20,10.8,9.199,20,74,460,19.1
3,5,Old Man L.,15-4124-55428,50.03672,-94.22218,3.5,18.899,6.879,26,8.109,2.62,0.797,0.821,0.45,0.347,1.55,0.62,68,2.29,6.37,10,41.799,280,8.394
3,5,Plum L.,15-4127-55299,49.90988,-94.21523,2,73.299,6.5,17.3,4.349,1.72,0.562,0.58,0.418,0.154,0.984,1.55,255,1.169,11,10,33.399,370,10.8
3,5,Rainy L.,15-4877-53939,48.72662,-93.13074,1.3,50.1,6.94,51.399,19.399,6.4,1.919,1.629,0.575,1.58,2.1,2.12,130,4.32,9.4,54,14,476,32
3,5,Rugby L.,15-5026-55337,49.95675,-92.95825,1,111,7.21,60.799,27.199,8.019,2.24,1.04,0.759,0.22,0.958,2.5,375,6.62,11.3,26.1,62.899,430,26.75
3,5,Shrub L.,15-4351-55357,49.97099,-93.89782,3,33.399,6.73,19.8,5.53,1.95,0.615,0.526,0.403,0.162,1.47,0.93,84,1.74,6.929,10,45.5,280,7.86
3,5,Stormy L.,15-5503-54708,49.39447,-92.34669,5,12,7.349,74.799,31.3,12.3,1.04,0.98,0.57,0.488,2.37,1.61,30,8.05,4.599,10,11.9,270,8.615
3,5,Thunder L.,15-5241-55137,49.77882,-92.66332,4,29.199,7.469,110,42.2,13.9,2.91,3.5,0.981,4.54,2.359,1.87,72,10.6,6.4,10,36.7,310,12.699
3,5,Upper Manitou L.,15-5149-54725,49.40161,-92.77724,6,6.919,7.389,81.299,33.5,12.6,1.62,1.35,0.617,0.735,2.529,1.159,30,8.71,3.91,10,15.9,240,6.7
3,5,Vista L.,15-4943-54343,49.06245,-93.08016,4.5,16.899,7.28,60.1,24.199,9.769,0.901,0.795,0.458,0.415,2.48,1.09,30,6.089,5.219,10,44,290,7.98
3,5,Wabigoon L.,15-5203-55093,49.73222,-92.72928,1,80.4,7.36,95.099,34.799,12.5,2.49,3.72,0.867,4.44,1.58,2.009,476,8.919,9.47,11.199,86.599,410,24.199
3,5,Wapageisi L.,15-5472-54633,49.32443,-92.35219,5.5,13.4,7.11,41.5,17.199,6.54,0.623,0.641,0.406,0.168,1.86,1.09,31,4.36,4.9,10,34.6,260,7.86
3,6,Arnott L.,16-3577-54402,49.09594,-88.95538,1.9,52.7,7.589,118.5,49,15.4,4.219,1.97,0.69,1.04,7.7,4.839,90,10.199,10,62,4,368,16.199
3,6,Arrow L.,15-7025-53379,48.15855,-90.26498,6.6,6.28,6.919,60.7,22.5,7.019,2.23,1.3,0.51,0.58,4.599,3.919,10,5.679,3,24,42,182,4.9
3,6,Athelstane L.,15-7050-54058,48.77457,-90.20796,4,24.8,6.98,48.2,20,5.639,1.98,0.98,0.7,0.25,1.95,3.58,60,4.82,6.799,20,32,288,9.5
3,6,Atik L.,15-7097-53434,48.21094,-90.17813,3.7,39.299,6.74,36.2,12,4,1.36,1.05,0.255,0.18,2.5,3.68,80,3.14,8.8,14,198,337,8.3
3,6,Batwing L.,15-7091-53688,48.44209,-90.17355,2.5,65.299,6.79,33.5,12.6,3.68,1.429,0.875,0.4,0.38,1.5,2.2,180,3,11.3,22,40,394,8.9
3,6,Beatty L.,16-4566-55070,49.71792,-87.60467,3.7,8.47,7.769,189,98.099,31.5,4.4,0.58,0.3,0.17,0.7,2.2,40,23.6,4.299,20,80,289,13.4
3,6,Bedivere L.,15-6578-54141,48.86818,-90.84937,1.7,65.5,6.759,30.6,11.3,3.7,1.03,0.85,0.365,0.21,1.25,3.6,310,2.74,10.3,20,50,399,16.399
3,6,Black Sturgeon L.,16-3634-54687,49.35824,-88.87211,4.5,43.2,7.24,133,39.6,11.199,3.58,10.1,0.58,13.199,2.299,3.72,60,9.38,9.099,6,180,300,4.9
3,6,Blunder L.,15-7020-53669,48.42444,-90.26943,1.6,119,6.769,32.7,12.199,4.059,1.29,0.845,0.29,0.45,0.8,3.299,690,2.799,13.4,16,4,501,20.6
3,6,Burchell L.,15-6747-53842,48.58834,-90.62706,5,15.1,7.009,101,25.199,12.1,1.98,3.47,0.675,5.059,12.3,2.839,20,6,5.2,8,142,187,2.899
3,6,Castle L.,16-3663-55543,50.1269,-88.87219,3.4,16.1,7.23,75.799,33.799,10.8,2.24,1.169,0.485,0.38,1.7,1.679,30,8.22,5.2,18,2,249,10.199
3,6,Circle L.,16-3534-54692,49.35977,-89.01858,2,56.6,7.16,72.099,32.1,8.779,2.529,2.439,0.43,0.95,1.149,4.339,190,7.66,10,24,72,421,18.1
3,6,Cry L.,16-3557-55322,49.92643,-89.01587,9.8,1.07,7,69.799,29.3,8.779,2.04,1.32,0.495,0.4,3.1,1.78,0,6.86,2.1,8,16,163,5.4
3,6,"des Mille Lacs, La.",15-6827-54135,48.87653,-90.51282,1.5,97.599,6.95,49.299,17.6,5.62,1.75,1.85,0.51,2.149,0.85,2.14,480,4.139,13.6,58,10,531,39.899
3,6,Disraeli L.,16-3551-54440,49.13422,-88.982,5.2,25,7.679,164,76.299,21.3,6.7,1.5,0.88,0.69,5.25,5.5,30,16.399,7.2,34,34,268,16.5
3,6,Dog L.,16-3132-54041,48.77812,-89.51281,3.2,76,7.059,62.799,25.3,7.7,2.48,1.22,0.64,0.73,1.85,3.819,150,6.08,11.8,10,220,336,7.099
3,6,Eileen L.,16-3589-54402,49.1049,-88.94168,2.5,61.399,7.57,130,46.399,17.1,4.259,2.319,0.57,2.049,12.199,4.639,80,10.1,10.3,46,8,350,14.9
3,6,Elbow L.,16-4433-55531,50.1298,-87.7934,2,98.099,7.129,97.4,46.7,14.699,3.21,0.46,0.46,0.33,0.6,1.94,100,11.199,15.699,12,60,452,14.699
3,6,Empire L.,15-6979-55108,49.71999,-90.24726,2,55.1,6.82,30.1,12.1,3.54,1.01,0.85,0.565,0.25,0.85,2.319,230,3.02,8.199,24,62,418,11.5
3,6,Fallingsnow L.,16-2930-53355,48.14185,-89.7849,5.8,6.99,6.839,40.399,13.199,4.059,1.49,0.975,0.615,0.25,4.25,2.08,20,3.56,3,20,40,152,6
3,6,Frazer L.,16-3884-54562,49.24882,-88.52882,3.7,22.1,7.219,75.599,35.2,9.779,2.54,1.61,0.405,1.02,1.35,3.12,80,8.24,6.099,16,26,321,10.9
3,6,Greenwater L.,15-6904-53837,48.57454,-90.42999,6.8,12.8,7.009,62.6,27.199,8.74,1.659,0.84,0.495,0.19,2.799,2.319,10,6.599,4.5,10,40,214,5.5
3,6,Greenwich L.,16-3638-54070,48.80501,-88.85841,2.5,54.899,6.71,27,8.529,2.859,1.189,0.615,0.295,0.24,1.55,2.52,80,2.14,8.699,8,206,280,5.5
3,6,Grouse L.,15-6812-53794,48.54321,-90.54489,5,8.349,6.849,44.6,16.899,5.719,1.24,0.755,0.44,0.27,3.1,0.84,10,4.379,4,14,28,250,7.799
3,6,Holinshead L.,16-3069-55034,49.65403,-89.68153,1.6,83.2,6.9,37.2,15.199,5.16,1.47,0.87,0.535,0.19,0.85,3.22,410,3.56,11.3,20,88,361,12.8
3,6,Holly L.,15-7111-54802,49.43642,-90.08177,2.5,33.5,6.83,28.199,11.1,3.24,1.05,0.71,0.34,0.19,1,2.16,80,2.779,6.599,42,4,308,8.5
