Cycle,FMZ,Lake Name,waterbodyID,Latitude,Longitude,secchiDepth,COLTR (TCU),pH,cond,alk,Ca,MGUT (mg/L),Na,KKUT (mg/L),CLIDUR (mg/L),SSO4UR (mg/L),SIO3UR (mg/L),FEUT,DIC,DOC,NNHTUR (mg/L),NNOTUR (ug/L),NNTKUR (ug/L),TDP
3,6,Huronian L.,15-6641-53950,48.68758,-90.77235,4.6,13,6.509,50.1,5.41,2,0.692,5.78,0.42,9.08,1.649,0.6,40,1.7,4.099,16,10,250,6
3,6,Icarus L.,15-6814-53436,48.22011,-90.57186,3.6,20.3,6.83,39.6,13.8,4.639,1.389,0.92,0.415,0.63,1.85,1.439,50,3.6,7,20,64,319,9.8
3,6,Jolly L.,16-3207-54488,49.16785,-89.45932,1.8,67.4,7.08,62.1,28.199,9.199,1.87,0.835,0.38,0.26,1.35,3.819,160,6.54,10.5,16,84,438,14.8
3,6,Kamikau L.,15-6986-53540,48.30997,-90.3213,3.1,23.399,6.69,25.5,8.419,2.54,0.908,0.84,0.3,0.39,1.35,1.399,130,2.419,6.299,22,52,299,5.599
3,6,Kashabowie L.,15-6913-53983,48.71886,-90.39423,2.7,43.399,6.94,43.1,17.899,5.04,1.75,0.935,0.605,0.2,1.75,3.439,140,4.2,7.9,28,34,325,11
3,6,Kearns L.,15-7163-54881,49.50753,-90.01676,2.1,52.5,6.94,48.1,21.3,6.36,1.679,0.88,0.645,0.17,1.2,3.279,160,5.16,8.4,30,36,333,13.6
3,6,Lost L.,16-4080-53975,48.72577,-88.25103,2.2,57.6,7.019,60.899,25.199,6.96,2.71,1.57,0.235,1.169,1.6,2.439,170,5.9,10.3,16,84,368,10.4
3,6,Maggotte L.,16-3237-55525,50.10119,-89.46517,1.9,93.299,6.559,22.399,7.719,2.66,0.862,0.87,0.445,0.21,0.8,3.02,500,1.94,11.199,14,102,339,11.199
3,6,Mowe L.,15-6672-53552,48.33174,-90.74281,3.4,23.699,6.839,41.5,15.9,5.58,1.22,0.85,0.36,0.19,2.35,1.36,40,3.94,7,16,36,293,10.699
3,6,Muskrat L.,16-3593-54568,49.25292,-88.94318,1.5,71.099,7.15,73.4,31.1,7.44,2.64,3.49,0.46,2.189,1,5.4,490,7.28,10.4,44,46,591,41.399
3,6,Northern Light L.,15-6723-53466,48.24446,-90.6759,1.9,68.7,6.75,34.2,11.3,4.12,1.36,0.94,0.325,0.42,1.399,2.779,200,2.94,11,12,114,374,13.199
3,6,Obonga L.,16-3346-55390,49.97411,-89.3113,3.2,45,7.009,52,22.3,7.219,1.75,0.83,0.525,0.27,1.149,3.359,120,4.82,7.799,10,112,247,6.2
3,6,Pakashkan L.,15-6981-54703,49.39128,-90.27892,2.7,40.5,7.11,60.899,28.3,7.879,2.029,1.04,0.8,0.15,1.2,4.679,220,6.78,5.9,36,64,253,9.5
3,6,Purdom L.,16-3964-54451,49.15261,-88.4217,2.1,64.2,7.04,53.1,23.199,6.74,2.16,0.885,0.47,0.36,1.649,2.839,120,5.419,10.1,16,76,382,12.5
3,6,Randolph L.,16-3610-55699,50.27741,-88.96094,3.4,34,7,84.2,35.2,11.699,2.459,2.12,1.09,2.12,1.6,4.44,140,8.5,4.799,12,86,165,7.099
3,6,Rudge L.,15-6659-53963,48.69703,-90.73502,4.2,10.9,6.58,37.2,6.809,2.12,0.732,3.24,0.395,4.839,1.649,0.76,30,1.96,3.899,8,2,237,6.599
3,6,Sandstone L.,15-7053-53459,48.23175,-90.24029,3.2,24.199,7.139,84.099,33.799,11.5,2.339,1.28,0.39,2.2,3.049,3.799,50,8.259,6.599,16,68,263,7.299
3,6,Sparkling L.,15-7031-55216,49.81424,-90.17712,1.7,59.5,6.65,22.6,8.269,2.5,0.788,0.695,0.375,0.21,0.8,2.54,320,2.08,8.699,16,74,281,8.4
3,6,Stetham L.,15-6708-53937,48.67442,-90.68295,3.6,24.6,6.66,24.399,8.82,2.54,0.838,0.665,0.445,0.22,1.6,1.12,80,2.419,6.5,22,46,264,6.9
3,6,Tilly L.,15-6508-53878,48.62935,-90.9475,4,28.899,6.509,33.1,5.96,1.84,0.75,2.75,0.39,3.879,1.6,1.26,70,1.58,6.9,6,56,253,5
3,6,Tinto L.,15-7029-53799,48.54084,-90.25014,4.8,18.6,6.929,55.399,25.1,8.46,1.09,0.64,0.315,0.15,1.899,2.12,30,6,6.099,16,4,324,9.4
3,6,Titmarsh L.,15-6832-53585,48.35538,-90.52995,4.6,26.699,6.79,33.299,12.5,3.66,1.24,0.81,0.33,0.22,1.7,2.14,60,3.259,6.5,6,96,228,4.7
3,6,Unknown L.,16-3744-54268,48.98106,-88.72206,7,5.679,6.849,39.899,16,4.459,1.679,0.63,0.28,0.19,2.45,0.28,20,,3.5,14,10,215,4.799
3,6,Upper Shebandowan L.,15-6867-53877,48.63351,-90.44608,2.4,25.5,7.07,57.5,22.8,7.419,1.56,1.3,0.485,1.07,2.1,2.56,80,5.599,5.9,22,4,282,7.799
3,6,Walotka L.,16-3483-54344,49.04481,-89.07437,3,23.6,6.849,35.5,12.8,3.94,1.459,0.595,0.28,0.16,2.149,2,30,3.24,6.099,12,104,225,4.4
3,6,Waweig L.,16-3500-55543,50.12945,-89.09663,4.2,17,6.99,55.899,23.699,7.08,1.76,1.29,0.7,0.79,1.2,3.04,20,5.419,4.799,4,70,186,6.099
3,6,Weewullee L.,16-4332-55499,50.09338,-87.9311,4.3,8.419,7.849,231,120,41.899,7.07,0.66,0.69,0.15,0.45,2.6,40,28.5,4.2,64,146,280,7.5
3,6,Whitefish L.,16-2773-53446,48.22119,-90.00085,2.6,14.6,7.4,123,55.299,16.3,3.779,1.83,0.585,2.35,2.799,3.04,230,13.6,3.7,40,4,319,11.8
3,7,Big Duck L.,16-4802-54273,49.00063,-87.27033,1.5,42.399,6.95,32.6,9.89,4.61,0.736,0.575,0.286,0.126,2.87,1.54,35,2.33,6.799,18.899,119,310,7.589
3,7,Bittern L.,17-3334-53694,48.45849,-83.25316,2.5,17.6,8.089,204,129,31.3,5.559,0.828,1.02,0.194,1.22,2.71,30,24.899,4.679,11.5,5,260,8.359
3,7,Cameron L.,16-6991-54320,49.0175,-84.27477,3.8,30.6,7.799,143,68.5,20.3,5.28,0.598,0.452,0.175,1.53,1.669,37,16.3,7.86,23.5,5,420,11.55
3,7,Catlonite L.,16-4995-54471,49.17841,-87.00698,1.8,97.4,7.15,51.399,19.5,7.33,1.899,0.68,0.55,0.483,1.459,1.97,92,4.37,13.5,25.1,79.5,440,8.57
3,7,Como L.,17-3120-53099,47.91648,-83.5157,3.3,16,7.24,61.899,26.399,8.529,1.86,0.645,0.497,0.189,1.71,1.49,30,6.33,5.19,14.8,5.299,340,8.539
3,7,Dog L.,16-7139-53538,48.30313,-84.11602,2.5,32.2,7.57,76.599,33.399,11,2.419,0.714,0.402,0.187,2.2,1.72,30,7.759,6.82,13.4,5,330,5.66
3,7,Ellen L.,16-6192-53335,48.14412,-85.38996,2.6,69.2,6.9,23.5,8.369,3.439,0.638,0.464,0.122,0.106,1.33,1.37,46,1.74,8.939,16.6,87.4,300,4.03
3,7,Goldie L.,17-2842-53251,48.04481,-83.89544,2.8,29.699,6.889,25.199,8.789,3.08,0.721,0.695,0.208,0.204,1.439,1.57,53,2.089,6.299,12.5,40.1,300,4.014
3,7,Haken L.,16-6683-54413,49.10397,-84.69439,2,36.299,8.109,242,114,35.7,7.94,3.629,0.598,5.219,0.912,1.87,30,27.1,8.839,29.3,5.4,400,8.435
3,7,Hiawatha L.,16-6439-54864,49.51536,-85.0119,2,58.5,7.87,135,65.2,22,4.41,0.441,0.453,0.125,0.672,1.36,34,15.3,10.699,13.6,5,420,5.394
3,7,Kagiano L.,16-5412-54570,49.28717,-86.43241,3.5,62.299,7.809,125,58.299,19.199,4.219,0.595,0.767,0.164,1.409,1.77,49,13.8,10.699,16.1,30.899,430,6.179
3,7,Kenogamisis L.,16-5087-55041,49.70602,-86.85844,1,45.6,7.769,172.5,80.099,27,5.139,1.76,0.595,2.31,2.399,2.279,50,18.8,11.199,40,6,441,15.1
3,7,Kwinkwaga L.,16-6225-54072,48.80786,-85.33219,2.4,47.799,7.91,150,72.7,23.6,5.009,0.69,0.43,0.176,1.24,1.78,33,17.399,9.029,13.1,5,400,6.589
3,7,Manitowik L.,16-6953-53376,48.16368,-84.37354,2.6,27.3,7.339,77.9,32.2,12,2.129,1.05,0.435,0.404,3.23,1.8,30,7.65,6.2,27,67.599,310,8.845
3,7,Missinaibi L.,17-3006-53592,48.35674,-83.69128,2.5,36.799,7.32,66.2,27.899,9.169,2.14,0.854,0.337,0.186,1.97,2.049,30,6.5,7.25,10.8,176,230,4.415
3,7,Nagagami L.,16-6420-54760,49.42202,-85.0419,3,53.1,7.98,163,80.799,25.699,5.69,0.565,0.501,0.164,0.937,1.75,33,18.8,10,16.8,9.9,430,6.03
3,7,Nagagamisis L.,16-6697-54829,49.47731,-84.65717,2.8,30.3,8.109,223,109,34.299,7.53,1.5,0.759,1.679,1.8,2.129,30,26,7.019,11.1,5.099,330,7.884
3,7,Nameigos L.,16-6678-54040,48.78398,-84.70585,1,76,7.74,124,54.2,17.899,4.07,2.04,0.469,2.629,0.875,1.81,137,12.699,11,16.199,5.9,480,9.574
3,7,One Island L.,16-6114-53657,48.43618,-85.49414,2.3,63.399,7.089,30.1,10.199,4.12,1.03,0.637,0.169,0.118,1.34,2.14,51,2.52,9.189,13.199,19.699,350,4.15
3,7,"Placid, L.",16-6583-54325,49.02703,-84.83384,,12.199,8.199,209,107,32.2,7.179,0.913,0.562,0.192,1.449,1.35,31,25.399,4.33,27.699,5,280,11.8
3,7,Prairie Bee L.,17-2830-53096,47.9122,-83.90502,2.1,38.5,7.19,56.299,18.399,6.71,1.35,2.169,0.333,2.69,1.73,2.319,78,4.509,5.889,12.3,49.2,260,5.184
3,7,Shekak L.,16-6398-54390,49.09008,-85.08496,2.3,33.1,8.019,167,82.799,25.6,6.099,0.592,0.392,0.18,0.719,1.5,30,19.6,8.97,14.1,5.799,460,7.344
3,7,South Greenhill L.,17-2866-53707,48.45508,-83.88685,2.7,97.4,6.929,29.5,10.8,4.04,1.11,0.621,0.244,0.134,1.26,2,92,2.24,12.699,17.699,5,470,7.65
3,7,Strickland L.,16-6497-54012,48.74758,-84.96384,2.5,30.8,7.33,52.799,22.199,7.37,1.81,0.593,0.319,0.115,1.23,0.97,30,5.219,7.549,20,51,340,3.904
3,7,West Kabenung L.,16-6450-53469,48.2603,-85.04903,1.8,46.5,7.21,66.9,17.5,6.4,1.399,4.519,0.293,6.549,1.879,0.98,48,3.819,8.24,14,31.5,360,3.71
3,7,White L.,16-6003-54025,48.78835,-85.61725,1.6,56.6,7.86,148,71.5,22.699,5.309,0.825,0.412,0.347,1.169,1.79,43,16.899,10.3,14.3,15.199,430,7.144
3,7,Whitefish L.,16-6898-53236,48.00938,-84.47039,2.3,47.7,7.11,52.2,19.399,7.19,1.419,1.169,0.387,0.74,2.169,2.129,53,4.849,7.53,23.6,77.599,330,7.375
3,7,Windermere L.,17-2934-53143,47.94905,-83.77195,2.1,50.399,7.259,48.399,19.399,6.7,1.26,1.34,0.345,1.31,1.6,2.5,70,4.459,7.299,24,40,262,6.699
3,7,Woodosgoon L.,17-2837-53860,48.5914,-83.9328,,63.2,7.94,160,79.299,25.899,5.339,0.526,0.497,0.184,0.718,1.629,50,18.699,11.1,17.399,19.1,460,7.37
3,8,"Abitibi, L.",17-5851-53899,48.65805,-79.84475,0.4,178,7.33,77.9,28.5,9.509,2.5,2.359,1.2,2.299,2.04,1.86,1040,6.71,11,34.5,324,480,41.899
3,8,Borden L.,17-3280-52990,47.82327,-83.29694,5.5,11.3,7.719,115,50.299,16.8,2.79,1.5,0.871,1.53,1.96,1.139,30,11.9,4.15,11.9,15.5,260,6.535
3,8,Carty L.,17-3736-53361,48.16538,-82.70049,1.8,61.7,7.269,95.5,43,14.4,3.6,1.459,0.32,1.37,1.5,1.98,50,9.5,11.8,16,2,452,10.699
3,8,Clarice L.,17-6090-53547,48.33931,-79.53425,2.3,22.1,7.089,42,16.399,5.37,1.2,0.77,0.233,0.128,2.339,1.01,37,3.93,4.91,10.3,7.4,230,6.245
3,8,Cree L.,17-3714-52934,47.77507,-82.70472,4,13.4,7.75,114,54,16.199,3.99,0.703,0.342,0.148,1.37,0.79,30,12.6,6.23,32.5,8.9,460,11.75
3,8,Currie L.,17-5172-53366,48.1846,-80.76878,2,58.5,7.03,34.6,12.699,4.519,1.179,0.742,0.197,0.153,1.85,1.84,47,2.87,8.57,14.199,81.799,290,6.674
3,8,Dumbell L.,17-4935-53022,47.87667,-81.08547,2.8,43.899,7.389,61.799,27.199,7,3.009,0.63,0.185,0.33,2.649,1.379,40,6.459,7.5,30,4,301,11.8
3,8,Duncan L.,17-5026-52889,47.76275,-80.95455,2.4,50.899,7.219,46.2,19,6.139,1.55,0.83,0.195,0.12,2.7,2.72,60,4.7,7.299,30,30,262,10.1
3,8,Fortune L.,17-4339-53837,48.6048,-81.89708,3,9.72,6.98,29,12.4,3.819,0.853,0.291,0.18,0.127,1.35,0.1,30,2.81,4.299,12.9,6.5,270,2.69
3,8,Frederick House L.,17-5046-53895,48.66063,-80.93786,0.5,173,7.349,119,37.5,15.3,3.95,2.589,0.717,2.62,12.3,1.53,654,8.369,15.699,27.899,145,520,30.35
3,8,Hanson L.,17-3804-53044,47.87806,-82.59691,1.5,34.899,7.53,94.799,43.399,14.4,2.54,0.862,0.302,0.257,2.129,1.94,30,9.89,7.79,19.5,40.2,320,6.309
3,8,Hardiman L.,17-4140-53137,47.97112,-82.14951,1.8,22.3,7.21,56,24.3,7.87,1.669,0.564,0.328,0.139,1.69,0.64,30,5.71,6.4,24.3,12.6,380,10.305
3,8,Horwood L.,17-4010-53144,47.96766,-82.32184,2.8,66.4,7.169,72.4,33.1,11.8,2.41,0.78,0.395,0.25,1.85,2.12,110,7.4,9.4,20,54,374,9.5
3,8,Ivanhoe L.,17-3788-53266,48.08286,-82.62678,3,52.299,7.419,109,51.799,17.5,3.89,1.29,0.715,0.88,1.8,2.279,60,11.4,8.8,18,26,369,9.3
3,8,Kapuskasing L.,17-3563-53717,48.4837,-82.94457,1.3,97.2,7.389,80.5,41.5,11.3,2.74,1.34,0.562,1.33,1.649,1.76,186,7.629,14.199,20.899,22.6,480,15.199
3,8,Katagi L.,17-4271-53064,47.90867,-81.96916,1.3,95.9,6.929,30.899,10.3,4.08,1.12,0.699,0.225,0.141,1.419,2.569,99,2.359,13.3,16.5,36.299,390,9.875
3,8,Kenogamissi L.,17-4591-53367,48.24057,-81.52985,3.6,83.2,7.23,52.2,19.899,6.98,1.639,1.28,0.275,0.96,2.149,2.62,100,4.94,10.199,32,42,340,11.1
3,8,Larder L.,17-6010-53265,48.08541,-79.64223,3,25.1,7.08,103,32.899,11.9,3.509,3.919,0.585,4.469,8.05,1.919,70,8.019,5.099,8,136,294,9.4
3,8,Lower Minnipuka L.,17-2953-54198,48.8965,-83.79523,1.3,92.5,7.799,153,75,23.899,5.86,0.548,0.321,0.104,1.189,1.32,82,17.8,14.6,20.1,8.3,540,7.57
3,8,Makami L.,17-4372-52874,47.73095,-81.84357,2.2,71.299,7.12,43.7,15.699,5.559,1.32,1.12,0.26,0.82,2.2,2.48,80,3.899,9.3,26,42,290,8.8
3,8,Mesomikenda L.,17-4340-52773,47.64812,-81.87872,1.3,66.5,7.16,48.7,18.1,6.45,1.5,1.07,0.291,0.681,2.08,2.31,85,4.19,9.669,15,60.1,330,10.185
3,8,Mistinikon L.,17-5196-53085,47.96607,-80.73921,2.8,68.4,7.19,50.6,20.3,7.519,1.58,0.81,0.18,0.22,2.6,2.279,80,5.139,9,32,8,318,10.3
3,8,Muskasenda L.,17-4773-53267,48.09035,-81.30665,1.8,53.5,7.36,106,50,17.899,3.56,0.84,0.355,0.19,2.549,2.319,50,10.5,8.5,20,28,370,8.4
3,8,Nemegosenda L.,17-3426-53189,48.0062,-83.11013,2.5,45.299,7.74,139,61.399,20.3,3.99,2.1,1.09,2.04,2.509,2.629,42,14.4,7.86,11.5,137,410,6.669
3,8,Opeepeesway L.,17-4061-52742,47.62743,-82.23317,3.4,91.4,7.11,41.799,16.699,6.2,1.379,0.61,0.3,0.19,1.85,2.279,100,4.019,11.8,24,14,372,11.5
3,8,Radisson L.,17-5180-53389,48.21258,-80.75526,4.1,27.399,7.049,59.299,24.3,8.74,1.8,0.83,0.23,0.17,2.75,1.76,20,5.379,5.4,6,82,230,4.5
3,8,Raven L.,17-6079-53230,48.05196,-79.55023,2.8,50.399,6.969,38.899,11.1,3.919,1.24,1.59,0.324,1.23,2.81,2.14,143,2.669,7.48,14,138,270,9.9
3,8,Rice L.,17-4148-52820,47.70129,-82.1231,2.1,54.799,6.889,35.2,14.1,5.299,1.34,0.69,0.275,0.2,1.449,1.74,100,3.279,8.9,18,4,388,15.199
3,8,Rollo L.,17-3767-53044,47.88286,-82.64873,3.2,30.5,7.349,96.4,45.799,16.3,2.879,0.87,0.32,0.27,2.35,2.12,20,10.199,7.2,14,50,312,6.9
3,8,Round L.,17-5717-53183,48.01448,-80.0419,1.7,46.1,7.19,129,41,14.9,3.459,6.62,0.95,8.259,7.5,1.919,110,9.099,8,58,128,435,22.3
3,8,Shillington L.,17-5265-52901,47.76767,-80.64678,2.3,51.7,7.269,61,23.899,7.889,1.899,1.28,0.31,0.585,2.79,3.049,73,5.679,6.9,19.1,17.1,300,8.869
3,8,St. Anthony L.,17-5962-53128,47.96541,-79.71119,3.1,22.6,6.929,45.1,17.6,6.16,1.7,0.81,0.35,0.14,2.899,0.36,40,4.12,6,6,2,311,7.9
3,8,Sweetwater L.,17-3844-53694,48.46914,-82.56376,2.3,14.6,7.599,82.099,46.7,11.1,2.779,0.62,0.368,0.17,0.604,0.14,30,9.189,4.69,15.1,5,320,8.589
3,8,Trollope L.,17-5969-53816,48.58201,-79.6858,3,16.899,7.059,37.1,14.699,5.299,0.745,0.56,0.145,0.127,2.049,0.86,30,3.47,4.809,10,6.7,210,6.25
3,8,Watabeag L.,17-5314-53425,48.24705,-80.55577,2,38.1,7.639,111,50.6,16.8,3.12,0.882,0.319,0.154,2.06,2.18,66,12.3,6.11,31.3,14.4,310,13.15
3,10,Achigan L.,16-7134-51997,46.91679,-84.19601,3,26.8,6.57,18.199,3.85,1.87,0.412,0.601,0.258,0.21,1.79,2.2,52,1.25,3.72,10,321,180,6.11
3,10,Adelaide L.,16-7046-52151,47.05965,-84.31112,4,15.199,6.759,23.899,7.049,3.339,0.403,0.505,0.191,0.138,1.929,1.669,33,2.16,2.5,12.6,264,150,6.775
3,10,Agnew L.,17-4414-51336,46.36526,-81.75464,2,61.1,6.7,31.5,7.49,3.52,0.884,1.33,0.395,1.149,3.149,2.72,170,1.919,7.799,20,58,286,9.099
3,10,Anjigami L.,16-6809-53004,47.851,-84.58297,1.9,55.799,6.94,22.899,7.549,2.74,0.62,0.65,0.255,0.12,1.7,2.359,70,1.899,7.2,24,88,249,6.8
3,10,Astonish L.,17-3582-51582,46.56531,-82.85482,4,21.399,7.04,40.5,14.9,6.44,0.568,0.75,0.255,0.15,2.6,2.04,40,3.58,4.5,20,84,179,4.4
3,10,Bark L.,17-3874-51976,46.91066,-82.46795,2.3,30.899,6.889,32,10.5,3.73,1.06,0.98,0.334,0.175,2.93,2.6,127,2.669,4.57,17.1,79.7,230,7.94
3,10,Basswood L.,17-3164-51328,46.33314,-83.39658,6,2.879,6.559,34.5,5.759,3.299,0.856,1.53,0.285,1.59,5.25,0.18,10,1.72,1.3,6,222,91,4.599
3,10,Beak L.,17-3370-52303,47.21363,-83.14591,3.5,35.299,6.82,28.5,10.4,3.96,0.782,0.775,0.22,0.15,1.95,2.66,60,2.52,5.599,16,18,234,6.2
3,10,Big Moon L.,17-3557-51418,46.41782,-82.87769,4.3,12.4,6.66,22.699,5.839,2.68,0.504,0.69,0.23,0.22,3.25,1.459,30,1.459,3.1,12,56,168,3.6
3,10,Boumage L.,17-3914-51928,46.87978,-82.42729,2.3,30.899,6.389,15.5,3.35,1.26,0.421,0.749,0.2,0.144,2.459,2.02,111,0.854,5.009,10,45.2,200,5.235
3,10,Bright L.,17-3228-51260,46.26885,-83.30474,2.3,19.899,6.929,65.2,17.1,6.559,1.82,3.189,0.685,4.91,4.5,0.9,60,4.139,3.899,34,16,276,10.3
3,10,Chiblow L.,17-3423-51340,46.3472,-83.05073,4.3,7.96,6.62,24,5.73,2.6,0.642,0.785,0.24,0.27,3.45,1.34,10,1.58,3.2,10,74,188,3.5
3,10,Chiniguchi L.,17-5240-51985,46.93198,-80.68185,6.1,5.37,6.16,19.699,1.12,1.459,0.458,0.59,0.24,0.19,5.25,1.04,20,0.86,1.8,22,20,136,3
3,10,Chrysler L.,17-4919-52573,47.47118,-81.10758,5.8,3.7,7.589,105,46.799,15.3,2.72,0.873,0.255,0.154,3.879,1.47,30,11.1,1.919,10,5.799,180,7.565
3,10,Deschamp L.,17-3903-51589,46.57699,-82.43105,1.8,42.899,6.49,15.9,3.319,1.659,0.389,0.568,0.231,0.152,1.86,1.47,94,1.139,5.769,14.699,47.899,250,8.074
3,10,Dick L.,16-7004-52204,47.10866,-84.358,2.8,31.199,6.86,25.899,8.97,3.94,0.374,0.445,0.18,0.11,1.75,1.72,90,2.2,5.099,24,124,183,5.799
3,10,Duval L.,17-3432-51760,46.72117,-83.05211,1.5,30.899,6.82,25,8.119,3.359,0.642,0.644,0.156,0.214,1.98,1.79,139,2.259,4.74,10.1,56.2,240,5.735
3,10,Fairbank L.,17-4672-51457,46.46577,-81.42763,6.5,6.879,7.08,61.299,15.9,6.49,1.459,1.379,0.381,1.8,7.57,1.75,30,4.12,1.76,30,100,156.94,6.245
3,10,Gamitagama L.,16-6678-52804,47.65757,-84.76551,6.2,10.1,6.73,15.199,4.23,1.659,0.312,0.455,0.15,0.1,1.75,0.98,20,1.32,2.7,20,44,171,4.299
3,10,Garden L.,17-2933-51822,46.76463,-83.70654,3,57.6,6.83,28.399,8.47,3.52,0.826,0.735,0.26,0.28,2.6,2.72,150,2.04,7.799,22,110,240,6.2
3,10,Gavor L.,16-7267-52208,47.10214,-84.01306,2.2,40.799,7,38.1,14.9,6.589,0.472,0.412,0.166,0.134,1.409,1.389,92,3.89,6.019,23.8,106,260,6.49
3,10,Gong L.,17-3074-52158,47.07006,-83.53602,2.3,45.6,6.719,23,6.469,2.799,0.611,0.618,0.183,0.143,2.08,2.33,91,1.899,6.419,17.3,80.2,250,8.384
3,10,Griffin L.,16-6971-52177,47.08604,-84.40354,4.5,13.699,6.83,23.199,6.759,2.96,0.388,0.5,0.19,0.13,2.1,1.919,20,1.639,3.299,22,240,102,4.099
3,10,Hanes L.,17-2809-52215,47.11457,-83.88482,2.3,63.7,6.69,23.199,7.9,3.359,0.618,0.62,0.24,0.16,1.7,2.319,130,1.72,8.9,10,72,300,5.9
3,10,Hanes L.,17-2809-52215,47.11457,-83.88482,1.5,64.599,6.679,22,6.559,3.04,0.55,0.53,0.206,0.175,1.62,2.06,127,1.74,8.439,19.1,76.099,320,7.469
3,10,Helen L.,17-4925-52070,47.01777,-81.0952,2.5,40.399,6.389,17.6,2.96,1.449,0.547,0.754,0.267,0.167,2.919,1.56,198,1,5.389,10,52.299,240,6.705
3,10,Indian L.,17-4145-52197,47.12966,-82.1271,2.5,34.399,6.669,25.199,6.639,2.759,0.864,0.735,0.26,0.2,3.2,1.8,80,1.8,6.2,16,16,261,6.7
3,10,Joe L.,17-4991-51755,46.73708,-81.01196,3.9,7.49,6.629,26.399,4.07,2.22,0.608,0.96,0.36,0.93,5.099,0.56,40,1.34,1.7,28,2,145,5.599
3,10,Kalaco L.,17-4702-52245,47.17792,-81.39287,3,49.2,6.78,28.8,7.559,3.359,0.946,0.885,0.223,0.216,3.319,1.909,64,2.089,7.07,15.699,58.1,280,7.98
3,10,Kirkpatrick L.,17-3400-51692,46.65714,-83.09401,3.5,12.4,6.83,24.899,7.429,3.06,0.628,0.66,0.155,0.24,2.75,1.879,20,1.98,3.299,24,70,148,4.2
